Gene_ID,Uniprot_ID,Gene_symbol,Aproved_gene_name,ENS_Gene_id,Ortho_Age,Paralog_status,Haplosufficiency_Rank,Disease_Association,Family_Root,Family_ID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,control.category,Degree,Eccentricity,MDS,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient,VIP_type
20,ABCA2_HUMAN,ABCA2,ABCA2,ENSG00000107331,615,Ohnolog,56.47,None,LECA,731,2.88107808,1.90E-05,0.34709229,0.03030303,intermittent,22,6,FALSE,197.5909091,0.76486524,245008,0.05776765,RNA
21,ABCA3_HUMAN,ABCA3,ABCA3,ENSG00000167972,615,SSD,64.64,None,LECA,731,3.08958044,1.65E-05,0.32366854,0.02116402,intermittent,28,6,FALSE,76.60714286,0.73880245,197620,0.05610361,NA
22,ABCB7_HUMAN,ABCB7,ABCB7,ENSG00000131269,796,SSD,24.77,None,LECA,51,2.57888302,8.99E-06,0.38776478,0.16205534,intermittent,23,5,FALSE,725.7391304,0.80263962,538472,0.08884619,Multi
23,ABCF1_HUMAN,ABCF1,ABCF1,ENSG00000204574,796,SSD,36.78,None,LECA,413,2.50875243,0.000161,0.3986045,0.2206333,intermittent,89,5,FALSE,403.2134832,0.81140595,2622484,0.04417317,RNA
24,ABCA4_HUMAN,ABCA4,ABCA4,ENSG00000198691,435,Ohnolog,18.63,Both,LECA,731,3.47013059,1.70E-07,0.28817359,0,intermittent,2,6,FALSE,62,0.69123368,4054,0.5,NA
25,ABL1_HUMAN,ABL1,ABL1,ENSG00000097007,435,Ohnolog,3.1,None,LECA,5,2.33731592,0.00223603,0.42784118,0.05209458,intermittent,358,5,FALSE,165.8715084,0.83283551,28043106,0.01415553,DNA
26,"ABP1_HUMAN,AOC1_HUMAN",AOC1,AOC1,ENSG00000002726,311,SSD,75.29,None,Gnathostomata,18,3.37371492,4.11E-06,0.29640916,0,intermittent,4,6,FALSE,42.25,0.70328563,47816,0.25462963,DNA
27,ABL2_HUMAN,ABL2,ABL2,ENSG00000143322,435,Ohnolog,24.57,Unknown,LECA,5,2.63739928,7.66E-05,0.3791614,0.18176505,intermittent,59,5,FALSE,271.9322034,0.79532509,1191280,0.03891947,NA
28,BGAT_HUMAN,ABO,ABO,ENSG00000175164,351,SSD,NA,None,Vertebrata,7202,3.45723812,6.00E-07,0.28924823,0,intermittent,3,6,FALSE,116.6666667,0.69284523,3866,0.33624031,NA
29,ABR_HUMAN,ABR,ABR,ENSG00000159842,311,Ohnolog,10.64,None,Vertebrata,8224,2.60550153,1.71E-05,0.38380327,0.18947368,intermittent,20,5,FALSE,650.2,0.79931231,529728,0.08447693,RNA
30,THIK_HUMAN,ACAA1,ACAA1,ENSG00000060971,615,SSD,42.57,None,LECA,670,2.96593498,6.05E-06,0.33716181,0.05847953,intermittent,19,5,FALSE,171.631579,0.75425813,87822,0.07170419,NA
31,ACACA_HUMAN,ACACA,ACACA,ENSG00000278540,435,SSD,2.39,None,LECA,1113,2.4256738,0.000183,0.41225659,0.12067124,intermittent,115,5,FALSE,386.6086957,0.82179078,4308922,0.0368114,Multi
32,ACACB_HUMAN,ACACB,ACACB,ENSG00000076555,796,SSD,49.54,None,LECA,1113,2.77788275,1.78E-05,0.3599864,0.30634278,intermittent,39,6,FALSE,372.7948718,0.77776466,509080,0.07638188,RNA
33,ACADL_HUMAN,ACADL,ACADL,ENSG00000115361,413,SSD,44.21,None,Opisthokonta,990,2.95915532,4.28E-06,0.33793427,0.04761905,intermittent,7,6,FALSE,426.2857143,0.75510558,40700,0.15358045,NA
34,ACADM_HUMAN,ACADM,ACADM,ENSG00000117054,615,SSD,29.48,Recessive,Opisthokonta,990,2.75043068,2.75E-06,0.36357942,0.2,intermittent,21,5,FALSE,604.9047619,0.78119617,130240,0.11392155,Multi
35,ACADS_HUMAN,ACADS,ACADS,ENSG00000122971,796,SSD,57.39,None,Opisthokonta,990,3.29402612,5.99E-06,0.30357986,0,intermittent,9,6,FALSE,45.77777778,0.71324674,68622,0.11422902,NA
36,ACDSB_HUMAN,ACADSB,ACADSB,ENSG00000196177,796,SSD,65.42,None,Opisthokonta,990,2.82083912,1.47E-06,0.35450444,0.21212121,intermittent,12,5,FALSE,578.25,0.77239511,51214,0.13099554,RNA
37,ACADV_HUMAN,ACADVL,ACADVL,ENSG00000072778,796,SSD,33.28,None,Opisthokonta,990,2.65896082,6.93E-05,0.37608677,0.07188161,intermittent,44,5,FALSE,342.7727273,0.7926299,1092526,0.05074254,NA
38,THIL_HUMAN,ACAT1,ACAT1,ENSG00000075239,796,SSD,44.58,None,LECA,670,2.63439844,2.19E-05,0.3795933,0.14246068,intermittent,47,5,FALSE,502.1276596,0.79570019,646838,0.07096309,Multi
39,THIC_HUMAN,ACAT2,ACAT2,ENSG00000120437,796,SSD,53.12,None,LECA,670,2.72803557,1.41E-05,0.36656414,0.11092437,intermittent,35,5,FALSE,311.2,0.78399555,296142,0.05584555,NA
40,ASIC2_HUMAN,ASIC2,ASIC2,ENSG00000108684,43,Ohnolog,4.31,None,Bilateria,972,3.44028897,2.40E-07,0.29067326,0.6,intermittent,5,6,FALSE,48.2,0.69496388,1176,0.21422222,NA
41,ASIC1_HUMAN,ASIC1,ASIC1,ENSG00000110881,615,Ohnolog,22.59,None,Bilateria,972,3.14231731,4.54E-06,0.31823648,0.09090909,intermittent,12,6,FALSE,86.5,0.73221034,49172,0.09158679,NA
43,ACES_HUMAN,ACHE,ACHE,ENSG00000087085,435,Ohnolog,17.93,None,LECA,486,2.89435954,0.000118,0.34549958,0.04545455,intermittent,12,6,FALSE,318.3333333,0.76320506,1021328,0.09614609,NA
47,ACLY_HUMAN,ACLY,ACLY,ENSG00000131473,796,Singleton,18.3,None,Singleton,0,2.42033898,9.19E-05,0.41316527,0.18205128,intermittent,105,5,FALSE,464.6761905,0.82245763,3344808,0.04380988,Multi
48,ACOC_HUMAN,ACO1,ACO1,ENSG00000122729,615,Ohnolog,20.03,None,Opisthokonta,1890,2.71831064,1.36E-05,0.36787554,0.14130435,intermittent,24,5,FALSE,424.4166667,0.78521117,273762,0.07321685,NA
49,ACRO_HUMAN,ACR,ACR,ENSG00000100312,311,Singleton,81.19,None,Singleton,0,3.33092526,6.90E-07,0.30021688,0,intermittent,5,6,FALSE,63,0.70863434,8562,0.20875421,NA
50,ACON_HUMAN,ACO2,ACO2,ENSG00000100412,796,SSD,9.8,None,Opisthokonta,1890,2.47340928,0.000134,0.40430025,0.18389982,intermittent,130,5,FALSE,317.4076923,0.81582384,2567298,0.03292132,NA
51,ACOX1_HUMAN,ACOX1,ACOX1,ENSG00000161533,615,SSD,38.86,None,Opisthokonta,990,2.88018894,3.50E-05,0.34719944,0.03565062,intermittent,34,6,FALSE,134.3235294,0.76497638,372898,0.04062774,NA
52,PPAC_HUMAN,ACP1,ACP1,ENSG00000143727,615,SSD,32.31,None,LECA,6716,2.73464851,2.18E-05,0.36567771,0.08484848,intermittent,45,5,FALSE,312.1777778,0.78316894,446730,0.05780166,Multi
53,PPAL_HUMAN,ACP2,ACP2,ENSG00000134575,615,Ohnolog,38.21,None,LECA,296,2.97960545,5.23E-05,0.33561491,0.02673797,intermittent,34,6,FALSE,91.11764706,0.75254932,514022,0.04104865,NA
54,PPA5_HUMAN,ACP5,ACP5,ENSG00000102575,796,Singleton,66.32,None,Singleton,0,2.94370659,1.72E-05,0.33970777,0.04187192,intermittent,29,6,FALSE,121.862069,0.75703668,185648,0.0506659,NA
55,PPAP_HUMAN,ACP3,ACP3,ENSG00000014257,311,SSD,NA,None,LECA,296,2.80005557,4.47E-05,0.35713577,0.02,intermittent,25,5,FALSE,240.56,0.77499305,543232,0.0517231,NA
58,ACTS_HUMAN,ACTA1,ACTA1,ENSG00000143632,615,SSD,8.1,Both,LECA,1060,2.45873854,0.000738,0.40671262,0.06425495,intermittent,216,5,FALSE,205.9027778,0.81765768,10350822,0.0211128,RNA
59,ACTA_HUMAN,ACTA2,ACTA2,ENSG00000107796,615,SSD,2.61,None,LECA,1060,2.55054182,0.000625,0.39207356,0.05833583,intermittent,142,5,FALSE,227.1478873,0.80618227,8807546,0.02725175,Multi
60,ACTB_HUMAN,ACTB,ACTB,ENSG00000075624,311,Ohnolog,1.03,None,LECA,1060,2.21672687,0.00343827,0.45111557,0.07978382,intermittent,512,5,FALSE,226.6074219,0.84790914,50203604,0.01656359,Multi
70,ACTC_HUMAN,ACTC1,ACTC1,ENSG00000159251,351,Ohnolog,9.59,None,LECA,1060,2.56354543,0.000326,0.39008476,0.10107304,intermittent,108,5,FALSE,267.4907407,0.80455682,4583848,0.03292498,Multi
71,ACTG_HUMAN,ACTG1,ACTG1,ENSG00000184009,29,Ohnolog,1.38,None,LECA,1060,2.39972215,0.000644,0.41671491,0.12105095,intermittent,238,5,FALSE,288.1218487,0.82503473,12292848,0.02682831,Multi
72,ACTH_HUMAN,ACTG2,ACTG2,ENSG00000163017,615,Ohnolog,22.67,Dominant,LECA,1060,2.81928313,7.77E-06,0.3547001,0.11255411,intermittent,22,6,FALSE,386.4545455,0.77258961,202262,0.09257565,Multi
81,ACTN4_HUMAN,ACTN4,ACTN4,ENSG00000130402,105,Ohnolog,21.58,None,LECA,595,2.38871909,0.000299,0.41863441,0.12643778,intermittent,152,5,FALSE,336.8947368,0.82641011,6416844,0.03046065,Multi
86,ACL6A_HUMAN,ACTL6A,ACTL6A,ENSG00000136518,615,Ohnolog,3.58,None,LECA,1060,2.51480967,0.000181,0.39764441,0.14589079,intermittent,148,5,FALSE,276.8175676,0.81064879,3664732,0.03098246,Multi
87,ACTN1_HUMAN,ACTN1,ACTN1,ENSG00000072110,796,Ohnolog,15.15,None,LECA,595,2.43717699,0.000483,0.41031078,0.08850932,intermittent,161,5,FALSE,279.5900621,0.82035288,7533306,0.02742327,Multi
88,ACTN2_HUMAN,ACTN2,ACTN2,ENSG00000077522,796,Ohnolog,13.49,Dominant,LECA,595,2.67474298,0.000518,0.3738677,0.05734485,intermittent,134,6,FALSE,160.5820896,0.79065713,8820632,0.02585894,RNA
89,ACTN3_HUMAN,ACTN3,ACTN3,ENSG00000248746,796,Ohnolog,NA,None,LECA,595,2.78399555,2.21E-05,0.35919598,0.13105413,intermittent,27,6,FALSE,273.2222222,0.77700056,310260,0.05722494,NA
90,ACVR1_HUMAN,ACVR1,ACVR1,ENSG00000115170,435,Ohnolog,3.27,Dominant,LECA,2731,2.78788552,0.000243,0.35869479,0.06217346,intermittent,88,5,FALSE,89.80681818,0.77651431,3027274,0.01997107,NA
91,ACV1B_HUMAN,ACVR1B,ACVR1B,ENSG00000135503,158,Ohnolog,11.26,None,LECA,2731,2.6959711,0.000212,0.37092386,0.1214539,intermittent,48,5,FALSE,220.2291667,0.78800361,2519394,0.03607765,NA
92,AVR2A_HUMAN,ACVR2A,ACVR2A,ENSG00000121989,435,Ohnolog,2.08,None,LECA,2731,3.05251459,5.80E-05,0.32759876,0.11517165,intermittent,43,6,FALSE,45.18604651,0.74343568,770486,0.03379333,NA
93,AVR2B_HUMAN,ACVR2B,ACVR2B,ENSG00000114739,615,Ohnolog,13.37,Unknown,LECA,2731,2.8304529,0.000229,0.35330035,0.04107744,intermittent,55,5,FALSE,104.9636364,0.77119339,2465034,0.02565612,NA
94,ACVL1_HUMAN,ACVRL1,ACVRL1,ENSG00000139567,311,Ohnolog,49.42,None,LECA,2731,2.96832453,2.92E-05,0.33689039,0.16,intermittent,26,6,FALSE,115.3846154,0.75395943,442324,0.05310849,NA
95,ACY1_HUMAN,ACY1,ACY1,ENSG00000243989,615,SSD,58.58,Recessive,LECA,3492,2.80577938,2.48E-05,0.35640721,0.06324111,intermittent,23,6,FALSE,283.9565217,0.77427758,271592,0.06236314,RNA
97,ACYP1_HUMAN,ACYP1,ACYP1,ENSG00000119640,615,SSD,42.69,None,Vertebrata,3957,3.05062517,0,0.32780166,0,redundant,1,6,FALSE,2216,0.74367185,0,0,NA
98,ACYP2_HUMAN,ACYP2,ACYP2,ENSG00000170634,615,SSD,58.08,None,Vertebrata,3957,3.80083356,6.00E-08,0.26310018,0,intermittent,2,6,FALSE,17,0.6498958,730,0.5,NA
100,ADA_HUMAN,ADA,ADA,ENSG00000196839,796,SSD,12.82,None,LECA,1649,2.88930258,2.42E-05,0.34610428,0.11111111,intermittent,18,6,FALSE,265.2222222,0.76383718,274718,0.08152248,NA
101,ADAM8_HUMAN,ADAM8,ADAM8,ENSG00000151651,615,Ohnolog,86.35,None,Bilateria,180,3.85184774,1.00E-08,0.25961566,0,intermittent,2,7,FALSE,12.5,0.64351903,42,0.575,NA
102,ADA10_HUMAN,ADAM10,ADAM10,ENSG00000137845,435,SSD,5.8,None,Bilateria,180,2.74548486,5.62E-05,0.36423439,0.07635468,intermittent,29,5,FALSE,287.1724138,0.78181439,552538,0.05284181,DNA
103,DSRAD_HUMAN,ADAR,ADAR,ENSG00000160710,615,SSD,43.06,Both,LECA,465,2.53764935,4.64E-05,0.39406548,0.16708861,intermittent,80,5,FALSE,435.275,0.80779383,1328572,0.05029466,Multi
104,RED1_HUMAN,ADARB1,ADARB1,ENSG00000197381,615,Ohnolog,66.51,None,LECA,465,2.68057794,2.27E-05,0.37305388,0.09275794,intermittent,64,5,FALSE,203.390625,0.78992776,413004,0.0315359,NA
105,RED2_HUMAN,ADARB2,ADARB2,ENSG00000185736,176,Ohnolog,43.56,None,LECA,465,3.0197277,5.10E-07,0.33115569,0,intermittent,10,6,FALSE,210.7,0.74753404,11500,0.11617729,NA
107,ADCY1_HUMAN,ADCY1,ADCY1,ENSG00000164742,615,SSD,43.08,None,LECA,678,3.03989997,6.92E-06,0.32895819,0,intermittent,5,5,FALSE,383.2,0.7450125,53156,0.20308183,NA
108,ADCY2_HUMAN,ADCY2,ADCY2,ENSG00000078295,615,Ohnolog,3.35,None,LECA,678,3.39277577,2.90E-07,0.29474391,0.16666667,intermittent,4,6,FALSE,52.25,0.70090303,1660,0.25746269,NA
109,ADCY3_HUMAN,ADCY3,ADCY3,ENSG00000138031,796,SSD,38.39,Recessive,LECA,678,2.95904418,2.39E-05,0.33794697,0,intermittent,17,5,FALSE,171.5882353,0.75511948,230480,0.06561086,NA
111,ADCY5_HUMAN,ADCY5,ADCY5,ENSG00000173175,796,Ohnolog,11.41,Dominant,LECA,678,3.07329814,4.54E-06,0.32538334,0.13333333,intermittent,10,6,FALSE,152.9,0.74083773,53408,0.12682724,NA
112,ADCY6_HUMAN,ADCY6,ADCY6,ENSG00000174233,105,Ohnolog,18.58,None,LECA,678,2.86640734,3.20E-05,0.34886877,0.03896104,intermittent,22,6,FALSE,212.5454546,0.76669908,392912,0.05658776,DNA
113,ADCY7_HUMAN,ADCY7,ADCY7,ENSG00000121281,435,Ohnolog,55.03,None,LECA,678,3.11347597,7.90E-07,0.32118443,0.1,intermittent,5,6,FALSE,215.8,0.7358155,11774,0.21285856,NA
114,ADCY8_HUMAN,ADCY8,ADCY8,ENSG00000155897,615,SSD,13.01,None,LECA,678,3.08519033,1.00E-08,0.32412911,0.7,intermittent,5,6,FALSE,487.2,0.73935121,1662,0.34093772,NA
115,ADCY9_HUMAN,ADCY9,ADCY9,ENSG00000162104,796,SSD,38.15,None,LECA,678,3.12986941,9.78E-06,0.31950215,0.00952381,intermittent,15,6,FALSE,73.66666667,0.73376632,82614,0.07794433,DNA
116,PACA_HUMAN,ADCYAP1,ADCYAP1,ENSG00000141433,435,SSD,43.32,None,Gnathostomata,3897,3.04240067,3.56E-05,0.32868781,0.0302521,intermittent,35,6,FALSE,57.37142857,0.74469992,375972,0.03974026,NA
117,PACR_HUMAN,ADCYAP1R1,ADCYAP1R1,ENSG00000078549,435,SSD,22.14,None,LECA,57,3.21828286,3.30E-07,0.31072471,0.4,intermittent,5,6,FALSE,301.2,0.72271464,9072,0.49539474,NA
118,ADDA_HUMAN,ADD1,ADD1,ENSG00000087274,615,Ohnolog,46.84,Unknown,Bilateria,1071,2.57888302,0.000131,0.38776478,0.12510975,intermittent,68,5,FALSE,326.2058824,0.80263962,2011508,0.04096151,NA
119,ADDB_HUMAN,ADD2,ADD2,ENSG00000075340,435,Ohnolog,37.61,None,Bilateria,1071,2.8749097,2.42E-05,0.34783701,0.1,intermittent,21,6,FALSE,246.0952381,0.76563629,255552,0.06824251,NA
120,ADDG_HUMAN,ADD3,ADD3,ENSG00000148700,615,Ohnolog,11.15,None,Bilateria,1071,2.74981939,5.37E-05,0.36366025,0.06773619,intermittent,34,5,FALSE,294.2941177,0.78127258,770480,0.05625718,NA
123,PLIN2_HUMAN,PLIN2,PLIN2,ENSG00000147872,615,SSD,40.38,None,LECA,2505,3.3940539,6.40E-07,0.29463292,0,intermittent,5,6,FALSE,49.2,0.70074326,5500,0.20337553,Multi
124,ADH1A_HUMAN,ADH1A,ADH1A,ENSG00000187758,73,SSD,66.12,None,LECA,2738,3.3310364,3.00E-08,0.30020687,0,intermittent,2,6,FALSE,218.5,0.70862045,318,0.50230947,NA
125,ADH1B_HUMAN,ADH1B,ADH1B,ENSG00000196616,73,SSD,56.32,Unknown,LECA,2738,3.04256738,7.88E-05,0.3286698,0.03571429,intermittent,8,6,FALSE,225.125,0.74467908,774212,0.15078965,NA
126,ADH1G_HUMAN,ADH1C,ADH1C,ENSG00000248144,43,SSD,NA,Dominant,LECA,2738,3.97304807,1.00E-08,0.25169592,0,intermittent,2,7,FALSE,5.5,0.62836899,40,0.5,NA
127,ADH4_HUMAN,ADH4,ADH4,ENSG00000198099,311,SSD,80.46,None,LECA,2738,2.97338149,1.50E-07,0.33631742,0,intermittent,3,6,FALSE,978.6666667,0.75332731,8298,0.3619647,NA
128,ADHX_HUMAN,ADH5,ADH5,ENSG00000197894,351,SSD,35.21,None,LECA,2738,2.81161434,7.04E-06,0.35566756,0.13235294,intermittent,17,6,FALSE,376.1764706,0.77354821,93194,0.08513161,DNA
130,ADH6_HUMAN,ADH6,ADH6,ENSG00000172955,105,SSD,87.44,None,LECA,2738,3.09624896,7.00E-07,0.32297144,0.05555556,intermittent,9,6,FALSE,131.6666667,0.73796888,9574,0.12983152,NA
131,ADH7_HUMAN,ADH7,ADH7,ENSG00000196344,311,SSD,84.83,None,LECA,2738,3.2093915,3.00E-08,0.31158555,0,intermittent,2,6,FALSE,405,0.72382606,562,0.50626566,NA
132,ADK_HUMAN,ADK,ADK,ENSG00000156110,796,SSD,3.42,None,LECA,6015,3.28057794,1.25E-06,0.30482434,0,intermittent,5,6,FALSE,101.8,0.71492776,16882,0.21043841,NA
133,ADML_HUMAN,ADM,ADM,ENSG00000148926,435,SSD,23.3,None,Euteleostomi,4760,3.52925813,3.92E-06,0.28334567,0.1,intermittent,5,6,FALSE,32.4,0.68384273,30720,0.20254777,NA
134,AA1R_HUMAN,ADORA1,ADORA1,ENSG00000163485,435,Ohnolog,22.93,None,Vertebrata,4770,3.00711309,6.74E-06,0.33254486,0.12087912,intermittent,14,5,FALSE,151.5,0.74911086,80060,0.08121068,NA
135,AA2AR_HUMAN,ADORA2A,ADORA2A,ENSG00000128271,615,Ohnolog,31.87,None,Vertebrata,4770,3.05918311,1.27E-05,0.32688465,0.06333333,intermittent,25,6,FALSE,106.16,0.74260211,143116,0.07851412,NA
136,AA2BR_HUMAN,ADORA2B,ADORA2B,ENSG00000170425,615,Ohnolog,34.53,None,Vertebrata,4770,3.27313143,1.28E-06,0.30551783,0.14285714,intermittent,7,6,FALSE,53.57142857,0.71585857,10672,0.15403727,NA
140,AA3R_HUMAN,ADORA3,ADORA3,ENSG00000282608,435,Ohnolog,75.65,None,Vertebrata,4770,3.04723534,1.38E-06,0.32816632,0.03030303,intermittent,12,6,FALSE,166.6666667,0.74409558,23240,0.11781405,NA
141,ADPRH_HUMAN,ADPRH,ADPRH,ENSG00000144843,615,Ohnolog,53.4,None,LECA,6861,3.05712698,2.15E-06,0.3271045,0.03571429,intermittent,8,6,FALSE,255.25,0.74285913,28958,0.15661538,NA
142,PARP1_HUMAN,PARP1,PARP1,ENSG00000143799,796,SSD,3.25,None,LECA,475,2.33225896,0.00100379,0.42876885,0.11875812,intermittent,358,5,FALSE,268.3268156,0.83346763,19240124,0.02267688,Multi
143,PARP4_HUMAN,PARP4,PARP4,ENSG00000102699,311,SSD,85.72,None,Chordata,614,2.79605446,5.69E-06,0.35764683,0.35164835,intermittent,14,5,FALSE,576.5714286,0.77549319,126376,0.12410061,Multi
146,ADA1D_HUMAN,ADRA1D,ADRA1D,ENSG00000171873,615,Ohnolog,42.55,None,Bilateria,493,2.87768825,2.19E-05,0.34750116,0.14035088,intermittent,19,5,FALSE,225.5263158,0.76528897,314538,0.06329974,NA
147,ADA1B_HUMAN,ADRA1B,ADRA1B,ENSG00000170214,615,Ohnolog,28.52,None,Bilateria,493,3.02717422,5.93E-06,0.33034108,0.06666667,intermittent,15,5,FALSE,131.1333333,0.74660322,76472,0.08343976,NA
148,ADA1A_HUMAN,ADRA1A,ADRA1A,ENSG00000120907,435,Ohnolog,40.07,None,Bilateria,493,2.96549041,6.03E-05,0.33721235,0.02651515,intermittent,33,5,FALSE,82.48484848,0.7543137,546614,0.03705683,NA
150,ADA2A_HUMAN,ADRA2A,ADRA2A,ENSG00000150594,435,Ohnolog,47.55,None,Bilateria,493,3.02061684,2.23E-06,0.33105821,0.14166667,intermittent,16,6,FALSE,144.1875,0.7474229,33308,0.0857792,NA
151,ADA2B_HUMAN,ADRA2B,ADRA2B,ENSG00000274286,435,Ohnolog,53.59,None,Bilateria,493,3.06979717,1.47E-06,0.32575442,0.07575758,intermittent,12,6,FALSE,130.8333333,0.74127535,19926,0.0988872,NA
152,ADA2C_HUMAN,ADRA2C,ADRA2C,ENSG00000184160,96,Ohnolog,68.35,Unknown,Bilateria,493,2.92625729,6.20E-07,0.34173345,0.13333333,intermittent,6,6,FALSE,578,0.75921784,14114,0.18940636,RNA
153,ADRB1_HUMAN,ADRB1,ADRB1,ENSG00000043591,615,Ohnolog,9.49,None,Bilateria,493,3.00333426,7.87E-06,0.33296327,0.09150327,intermittent,18,6,FALSE,147.6666667,0.74958322,93106,0.0765259,NA
154,ADRB2_HUMAN,ADRB2,ADRB2,ENSG00000169252,615,Ohnolog,6.71,None,Bilateria,493,2.4603501,0.00254686,0.40644622,0.02964297,critical,327,5,TRUE,126.2171254,0.81745624,36950666,0.01320577,NA
155,ADRB3_HUMAN,ADRB3,ADRB3,ENSG00000188778,435,Ohnolog,50.96,None,Bilateria,493,3.12275632,5.10E-07,0.32022992,0.28571429,intermittent,7,6,FALSE,175.7142857,0.73465546,8602,0.16452648,NA
156,ARBK1_HUMAN,GRK2,GRK2,ENSG00000173020,413,SSD,NA,None,LECA,1799,2.53292581,0.000365,0.39480035,0.1108766,intermittent,207,5,FALSE,214.2270531,0.80838427,6720708,0.02514119,NA
157,ARBK2_HUMAN,GRK3,GRK3,ENSG00000100077,311,SSD,NA,None,LECA,1799,2.81044735,1.32E-05,0.35581524,0.15238095,intermittent,15,5,FALSE,397.1333333,0.77369408,236702,0.08784661,NA
158,PUR8_HUMAN,ADSL,ADSL,ENSG00000239900,796,SSD,4.7,None,Opisthokonta,1598,2.58916366,6.36E-05,0.3862251,0.11578947,intermittent,76,5,FALSE,278.3289474,0.80135454,1028214,0.0359264,Multi
159,PURA2_HUMAN,ADSS2,ADSS2,ENSG00000035687,796,Ohnolog,NA,None,LECA,431,2.62478466,5.27E-05,0.38098363,0.16132824,intermittent,83,5,FALSE,297.4337349,0.79690192,981808,0.04141524,RNA
160,AP2A1_HUMAN,AP2A1,AP2A1,ENSG00000196961,435,Ohnolog,34.79,None,LECA,1261,2.4530703,0.000275,0.4076524,0.12205638,intermittent,135,5,FALSE,303.7925926,0.81836621,4904452,0.03047918,Multi
161,AP2A2_HUMAN,AP2A2,AP2A2,ENSG00000183020,96,Ohnolog,72.44,None,LECA,1261,2.48963601,0.000125,0.40166514,0.15720023,intermittent,84,5,FALSE,364.9047619,0.8137955,2245620,0.03879935,Multi
162,AP1B1_HUMAN,AP1B1,AP1B1,ENSG00000100280,796,Ohnolog,25.03,None,LECA,108,2.55982217,0.000139,0.39065214,0.10501567,intermittent,88,5,FALSE,300.9318182,0.80502223,2364146,0.03666216,RNA
163,AP2B1_HUMAN,AP2B1,AP2B1,ENSG00000006125,105,Ohnolog,6.87,None,LECA,108,2.46068352,0.000253,0.40639115,0.12294089,intermittent,129,5,FALSE,318.5658915,0.81741456,4300590,0.0323592,Multi
164,AP1G1_HUMAN,AP1G1,AP1G1,ENSG00000166747,796,Ohnolog,9.26,None,LECA,1261,2.66690747,5.42E-05,0.37496614,0.12459016,intermittent,61,5,FALSE,255.8852459,0.79163657,810892,0.03941096,RNA
165,AEBP1_HUMAN,AEBP1,AEBP1,ENSG00000106624,435,Ohnolog,63.68,None,LECA,1489,3.06579605,1.00E-07,0.32617956,0,intermittent,3,6,FALSE,515.6666667,0.74177549,4942,0.35154827,RNA
