Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID,node_type,virus_class,pet_vip,Introgressed_Status,POP
ENSG00000004139,SARM1,796,Singleton,24.19,872,Unknown,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000004142,POLDIP2,796,SSD,22.01,602,Unknown,LECA,36,redundant,4,Not,HSS,HSS
ENSG00000004399,PLXND1,796,Ohnolog,49.29,1276,Unknown,LECA,37,redundant,4,Not,HSS,HSS
ENSG00000004455,AK2,796,SSD,15.01,2200,Recessive,LECA,38,redundant,4,Not,HSS,HSS
ENSG00000004468,CD38,435,SSD,77.57,1996,Unknown,Euteleostomi,39,redundant,4,Not,HSS,HSS
ENSG00000004478,FKBP4,615,SSD,38.11,3166,Unknown,LECA,40,redundant,4,VIP,HSS,HSS
ENSG00000004487,KDM1A,796,SSD,5.57,3624,Dominant,LECA,41,redundant,4,VIP,HSS,HSS
ENSG00000004534,RBM6,351,Ohnolog,22.35,786,Unknown,LECA,32,redundant,4,VIP,HSS,HSS
ENSG00000004660,CAMKK1,796,Ohnolog,49.01,1462,None,LECA,43,redundant,4,Not,HSS,HSS
ENSG00000004700,RECQL,796,SSD,25.01,1822,Unknown,LECA,44,redundant,4,VIP,HSS,HSS
ENSG00000004766,VPS50,796,Singleton,NA,608,Unknown,Singleton,0,redundant,1,Not,HSS,HSS
ENSG00000004776,HSPB6,435,Ohnolog,61.69,1134,Unknown,Bilateria,45,redundant,4,VIP,HSS,HSS
ENSG00000004777,ARHGAP33,615,Ohnolog,56.5,706,Unknown,LECA,46,intermittent,4,Not,HSS,HSS
ENSG00000004779,NDUFAB1,796,SSD,32.81,4144,Unknown,LECA,47,redundant,4,Not,HSS,HSS
ENSG00000004799,PDK4,796,Ohnolog,26.05,2470,Unknown,LECA,48,intermittent,4,Not,HSS,HSS
ENSG00000004809,SLC22A16,435,Ohnolog,83.15,612,Unknown,LECA,49,redundant,1,Not,HSS,HSS
ENSG00000004838,ZMYND10,796,SSD,15.47,564,Recessive,LECA,50,redundant,1,Not,Strict,ASN
ENSG00000004846,ABCB5,435,SSD,46.5,1406,Unknown,LECA,51,redundant,1,Not,HSS,HSS
ENSG00000004848,ARX,615,SSD,20.25,1394,Recessive,LECA,52,redundant,4,Not,HSS,HSS
ENSG00000004864,SLC25A13,615,Ohnolog,25.1,1014,Recessive,LECA,53,redundant,4,VIP,HSS,HSS
ENSG00000004866,ST7,796,Ohnolog,8.29,298,Unknown,Gnathostomata,54,redundant,4,Not,HSS,HSS
ENSG00000004897,CDC27,796,SSD,9.78,3818,Unknown,LECA,55,intermittent,2,VIP,HSS,HSS
ENSG00000004939,SLC4A1,615,Ohnolog,46.73,1374,None,LECA,56,redundant,4,Not,HSS,HSS
ENSG00000004948,CALCR,105,Ohnolog,45.96,1274,Dominant,LECA,57,intermittent,4,Not,HSS,HSS
ENSG00000004961,HCCS,796,Singleton,40.92,2378,Dominant,Singleton,0,redundant,4,VIP,HSS,HSS
ENSG00000004975,DVL2,435,Ohnolog,22.04,2672,Unknown,LECA,58,redundant,1,Not,HSS,HSS
ENSG00000005001,PRSS22,158,SSD,83.82,736,Unknown,LECA,59,redundant,4,Not,HSS,HSS
ENSG00000005007,UPF1,615,SSD,33.92,3322,Unknown,LECA,60,intermittent,4,VIP,HSS,HSS
ENSG00000005020,SKAP2,435,SSD,4.84,870,Unknown,LECA,61,redundant,4,Not,HSS,HSS
ENSG00000005022,SLC25A5,435,Ohnolog,38.57,2386,Unknown,LECA,53,redundant,3,VIP,HSS,HSS
ENSG00000005059,MCUB,435,Ohnolog,NA,370,None,LECA,63,redundant,4,Not,HSS,HSS
ENSG00000005073,HOXA11,615,Ohnolog,3.2,1110,Dominant,LECA,64,redundant,1,Not,HSS,HSS
ENSG00000005075,POLR2J,796,SSD,35.6,2522,Unknown,LECA,65,intermittent,3,VIP,HSS,HSS
ENSG00000005100,DHX33,796,SSD,49.91,1998,Unknown,LECA,66,redundant,1,VIP,HSS,HSS
ENSG00000005102,MEOX1,796,Ohnolog,24.1,754,Recessive,LECA,67,intermittent,2,Not,HSS,HSS
ENSG00000005108,THSD7A,615,SSD,29.12,450,Unknown,LECA,68,redundant,4,Not,HSS,HSS
ENSG00000005156,LIG3,796,SSD,3.17,2712,Unknown,LECA,69,intermittent,1,VIP,HSS,HSS
ENSG00000005175,RPAP3,615,SSD,19.41,2328,Unknown,LECA,70,redundant,4,VIP,HSS,HSS
ENSG00000005187,ACSM3,435,SSD,40.62,1258,Unknown,LECA,71,redundant,3,Not,HSS,HSS
ENSG00000005189,REXO5,435,SSD,NA,1008,None,LECA,72,redundant,1,Not,HSS,HSS
ENSG00000005194,CIAPIN1,796,Singleton,52.43,822,Unknown,Singleton,0,redundant,2,Not,HSS,HSS
ENSG00000005206,SPPL2B,615,Ohnolog,NA,576,Unknown,LECA,73,redundant,3,Not,HSS,HSS
ENSG00000005238,FAM214B,435,SSD,16.84,230,None,Vertebrata,74,redundant,4,Not,HSS,HSS
ENSG00000005243,COPZ2,796,SSD,37.68,1140,Unknown,LECA,75,redundant,4,Not,HSS,HSS
ENSG00000005249,PRKAR2B,615,Ohnolog,13.52,2540,Unknown,LECA,76,critical,3,VIP,HSS,HSS
ENSG00000005302,MSL3,796,SSD,43.72,1494,Unknown,LECA,77,intermittent,4,Not,HSS,HSS
ENSG00000005339,CREBBP,615,Ohnolog,0.62,6112,Dominant,LECA,78,redundant,3,VIP,HSS,HSS
ENSG00000005379,TSPOAP1,158,Ohnolog,NA,644,Unknown,LECA,79,redundant,1,VIP,HSS,HSS
ENSG00000005381,MPO,158,SSD,9.79,3236,Both,LECA,80,intermittent,2,VIP,HSS,HSS
ENSG00000005421,PON1,435,SSD,24.46,1234,Unknown,Theria,81,redundant,3,Not,HSS,HSS
ENSG00000005436,GCFC2,435,Ohnolog,68.95,1028,Unknown,Gnathostomata,82,redundant,4,Not,HSS,HSS
ENSG00000005448,WDR54,615,SSD,53.8,128,None,LECA,83,redundant,4,Not,HSS,HSS
ENSG00000005469,CROT,796,SSD,31.66,876,Unknown,LECA,84,redundant,2,Not,HSS,HSS
ENSG00000005471,ABCB4,413,Ohnolog,32.55,1706,Both,LECA,51,redundant,4,Not,HSS,HSS
ENSG00000005483,KMT2E,311,SSD,19.81,1954,Unknown,Opisthokonta,86,redundant,4,Not,HSS,HSS
ENSG00000005486,RHBDD2,311,SSD,75.17,572,Unknown,Chordata,87,redundant,4,VIP,HSS,HSS
ENSG00000005513,SOX8,435,Ohnolog,50.08,2132,Unknown,LECA,88,redundant,3,Not,HSS,HSS
ENSG00000005700,IBTK,435,Singleton,26.49,1178,Unknown,Singleton,0,redundant,2,Not,HSS,HSS
ENSG00000005801,ZNF195,43,SSD,96.25,402,Unknown,LECA,89,redundant,4,Not,HSS,HSS
ENSG00000005810,MYCBP2,413,SSD,9.45,1830,Unknown,LECA,90,redundant,2,VIP,HSS,HSS
ENSG00000005812,FBXL3,435,SSD,14.71,1902,Recessive,LECA,91,redundant,4,Not,HSS,HSS
ENSG00000005844,ITGAL,158,SSD,70.04,2118,Unknown,LECA,92,redundant,4,VIP,HSS,HSS
ENSG00000005882,PDK2,796,Ohnolog,22.9,1690,Unknown,LECA,48,redundant,4,VIP,HSS,HSS
ENSG00000005884,ITGA3,435,Ohnolog,25.55,1570,Recessive,LECA,92,redundant,2,VIP,HSS,HSS
ENSG00000005889,ZFX,413,SSD,7.61,1586,Unknown,LECA,95,critical,3,Not,HSS,HSS
ENSG00000005893,LAMP2,435,Ohnolog,54.6,2548,Dominant,Chordata,96,redundant,3,VIP,HSS,HSS
ENSG00000005961,ITGA2B,435,Ohnolog,39.66,2070,Both,LECA,92,intermittent,2,Not,HSS,HSS
ENSG00000005981,ASB4,615,SSD,48.56,2848,Unknown,Opisthokonta,98,redundant,3,Not,HSS,HSS
ENSG00000006007,GDE1,796,SSD,38.76,770,Unknown,LECA,99,intermittent,4,Not,HSS,HSS
ENSG00000006015,REX1BD,105,Singleton,NA,246,None,Singleton,0,redundant,1,Not,HSS,HSS
ENSG00000006016,CRLF1,435,SSD,50.21,754,Recessive,Vertebrata,100,redundant,3,Not,HSS,HSS
ENSG00000006042,TMEM98,311,Singleton,33.69,244,Dominant,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000006047,YBX2,796,Ohnolog,36.72,1254,Unknown,LECA,102,redundant,4,Not,HSS,HSS
ENSG00000006059,KRT33A,176,SSD,51.24,518,Unknown,LECA,103,critical,4,Not,HSS,HSS
ENSG00000006062,MAP3K14,413,SSD,NA,3130,Unknown,LECA,104,redundant,4,Not,HSS,HSS
ENSG00000006071,ABCC8,615,SSD,1.79,2794,Both,LECA,12,redundant,2,Not,HSS,HSS
ENSG00000006116,CACNG3,615,Ohnolog,23.44,2022,Unknown,Bilateria,106,redundant,4,Not,HSS,HSS
ENSG00000006118,TMEM132A,311,Ohnolog,68.37,632,Unknown,LECA,107,intermittent,4,Not,HSS,HSS
ENSG00000006125,AP2B1,105,Ohnolog,6.87,2334,Unknown,LECA,108,redundant,3,VIP,HSS,HSS
ENSG00000006128,TAC1,435,Singleton,3.65,2938,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000006194,ZNF263,158,SSD,53.26,898,Unknown,LECA,109,redundant,4,Not,HSS,HSS
ENSG00000006210,CX3CL1,105,SSD,80.89,1828,Unknown,Gnathostomata,110,intermittent,4,VIP,HSS,HSS
ENSG00000006282,SPATA20,796,Singleton,52.74,564,Unknown,Singleton,0,redundant,2,Not,HSS,HSS
ENSG00000006283,CACNA1G,105,Ohnolog,23.14,1694,Dominant,LECA,111,intermittent,4,Not,HSS,HSS
ENSG00000006327,TNFRSF12A,311,Singleton,66.09,1150,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000006377,DLX6,615,Ohnolog,3.97,1104,Unknown,LECA,112,redundant,4,Not,HSS,HSS
ENSG00000006432,MAP3K9,615,Ohnolog,37.92,2214,Unknown,LECA,113,redundant,2,Not,HSS,HSS
ENSG00000006451,RALA,615,Ohnolog,3.09,3384,Unknown,LECA,114,intermittent,2,VIP,HSS,HSS
ENSG00000006453,BAIAP2L1,435,Ohnolog,59.37,714,Unknown,Vertebrata,115,redundant,4,Not,HSS,HSS
ENSG00000006468,ETV1,615,Ohnolog,3.01,2078,Unknown,Bilateria,117,redundant,4,Not,HSS,HSS
ENSG00000006530,AGK,615,SSD,51.17,0,Recessive,LECA,118,intermittent,4,Not,HSS,HSS
ENSG00000006534,ALDH3B1,96,SSD,68.12,1708,Unknown,LECA,119,redundant,4,Not,HSS,HSS
ENSG00000006576,PHTF2,796,SSD,19.17,534,Unknown,Vertebrata,120,redundant,3,Not,HSS,HSS
ENSG00000006606,CCL26,105,SSD,95.34,924,Unknown,Gnathostomata,110,redundant,1,VIP,HSS,HSS
ENSG00000006607,FARP2,615,Ohnolog,78.88,732,Unknown,Opisthokonta,122,redundant,2,Not,Intermediate,HSS
ENSG00000006611,USH1C,615,SSD,22.32,1890,Recessive,LECA,123,redundant,4,Not,HSS,HSS
ENSG00000006625,GGCT,796,SSD,33.08,832,Unknown,LECA,124,redundant,4,Not,HSS,HSS
ENSG00000006634,DBF4,413,SSD,28.57,1536,Unknown,LECA,125,redundant,3,Not,HSS,HSS
ENSG00000006638,TBXA2R,615,Ohnolog,77.11,1012,Dominant,Bilateria,126,redundant,4,VIP,HSS,HSS
ENSG00000006652,IFRD1,796,Ohnolog,23.92,958,Unknown,Vertebrata,127,redundant,4,Not,HSS,HSS
ENSG00000006659,LGALS14,43,SSD,96.98,190,Unknown,LECA,128,redundant,4,Not,HSS,HSS
ENSG00000006695,COX10,796,SSD,60.22,1740,Recessive,Opisthokonta,129,redundant,1,Not,HSS,HSS
ENSG00000006704,GTF2IRD1,413,SSD,47.51,800,Unknown,Bilateria,130,redundant,1,Not,HSS,HSS
ENSG00000006712,PAF1,796,Singleton,35.5,1482,Unknown,Singleton,0,redundant,1,VIP,HSS,HSS
ENSG00000006715,VPS41,796,Singleton,18.46,1068,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000006740,ARHGAP44,615,Ohnolog,41.01,746,Unknown,Bilateria,131,redundant,4,Not,HSS,HSS
ENSG00000006744,ELAC2,796,SSD,61.4,1908,Recessive,LECA,132,redundant,4,Not,Intermediate,HSS
ENSG00000006747,SCIN,435,Ohnolog,52.69,1004,Unknown,LECA,133,redundant,4,Not,HSS,HSS
ENSG00000006757,PNPLA4,796,SSD,81.78,596,Unknown,Bilateria,135,redundant,4,Not,HSS,HSS
ENSG00000006788,MYH13,105,Ohnolog,59.55,2088,Unknown,LECA,136,redundant,1,Not,HSS,HSS
ENSG00000006831,ADIPOR2,615,Ohnolog,24.16,876,Unknown,LECA,137,redundant,4,Not,HSS,HSS
ENSG00000006837,CDKL3,435,SSD,41.83,446,Unknown,LECA,138,redundant,4,Not,HSS,HSS
ENSG00000007001,UPP2,351,Ohnolog,57.05,1034,Unknown,Bilateria,139,redundant,4,Not,HSS,HSS
ENSG00000007038,PRSS21,615,SSD,98.89,1042,Unknown,LECA,59,redundant,2,Not,HSS,HSS
ENSG00000007047,MARK4,105,Ohnolog,44.48,776,Unknown,LECA,141,redundant,4,Not,HSS,HSS
ENSG00000007062,PROM1,105,Ohnolog,42.13,2458,Both,Chordata,142,redundant,3,Not,HSS,HSS
ENSG00000007080,CCDC124,796,Singleton,65.63,942,None,Singleton,0,redundant,3,VIP,HSS,HSS
ENSG00000007129,CEACAM21,15,SSD,98.64,442,Unknown,Vertebrata,143,redundant,4,Not,HSS,HSS
ENSG00000007168,PAFAH1B1,796,SSD,2.21,2652,Dominant,LECA,144,critical,3,Not,HSS,HSS
ENSG00000007171,NOS2,435,Ohnolog,17.69,3180,Unknown,LECA,145,intermittent,2,Not,HSS,HSS
ENSG00000007174,DNAH9,796,SSD,39.51,1778,Recessive,LECA,146,redundant,4,Not,HSS,HSS
ENSG00000007202,KIAA0100,796,Singleton,14.31,470,None,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000007216,SLC13A2,435,Ohnolog,68.62,1050,Unknown,Bilateria,147,redundant,4,Not,HSS,HSS
ENSG00000007237,AC005747,615,SSD,NA,3518,Unknown,LECA,148,intermittent,4,Not,HSS,HSS
ENSG00000007255,TRAPPC6A,796,Ohnolog,69.04,654,Unknown,Gnathostomata,149,redundant,2,Not,HSS,HSS
ENSG00000007264,MATK,435,SSD,73.33,2700,Unknown,LECA,5,redundant,2,Not,HSS,HSS
ENSG00000007306,CEACAM7,29,SSD,97.58,520,None,Vertebrata,143,redundant,2,Not,HSS,HSS
ENSG00000007312,CD79B,435,SSD,80.59,1556,Recessive,Euteleostomi,152,redundant,4,Not,HSS,HSS
ENSG00000007314,SCN4A,615,Ohnolog,27.91,1482,Both,LECA,111,intermittent,4,Not,HSS,HSS
ENSG00000007341,ST7L,796,Ohnolog,11.49,384,Unknown,Gnathostomata,54,intermittent,4,Not,HSS,HSS
ENSG00000007350,TKTL1,105,Ohnolog,73.34,1790,Unknown,LECA,155,intermittent,3,Not,HSS,HSS
ENSG00000007372,PAX6,615,SSD,0.78,4028,Dominant,LECA,52,redundant,4,Not,HSS,HSS
ENSG00000007376,RPUSD1,615,SSD,79.68,1032,None,LECA,157,redundant,4,Not,HSS,HSS
ENSG00000007384,RHBDF1,615,Ohnolog,52.34,1108,Unknown,Opisthokonta,158,intermittent,1,Not,HSS,HSS
ENSG00000007392,LUC7L,796,SSD,39.38,1354,Unknown,LECA,159,redundant,2,VIP,HSS,HSS
ENSG00000007402,CACNA2D2,158,Ohnolog,17.37,980,Unknown,Bilateria,160,redundant,4,Not,HSS,HSS
ENSG00000007516,BAIAP3,105,Ohnolog,71.97,680,Unknown,LECA,161,redundant,4,Not,HSS,HSS
ENSG00000007520,TSR3,796,Singleton,79.48,568,Unknown,Singleton,0,redundant,2,Not,HSS,HSS
ENSG00000007541,PIGQ,615,Singleton,65.33,800,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000007545,CRAMP1,615,SSD,NA,304,None,Amniota,162,redundant,4,VIP,HSS,HSS
ENSG00000007866,TEAD3,796,Ohnolog,31.71,1234,Unknown,Chordata,163,redundant,2,Not,HSS,HSS
ENSG00000007908,SELE,311,SSD,53.89,2580,Unknown,LECA,6,intermittent,1,Not,HSS,HSS
ENSG00000007923,DNAJC11,796,SSD,33.21,1202,Unknown,LECA,165,intermittent,4,VIP,HSS,HSS
ENSG00000007933,FMO3,351,SSD,71.11,1060,Recessive,Bilateria,166,intermittent,4,Not,HSS,HSS
ENSG00000007944,MYLIP,435,SSD,34.07,1224,Unknown,LECA,167,intermittent,2,Not,HSS,HSS
ENSG00000007952,NOX1,311,Ohnolog,34.43,1520,Unknown,LECA,168,intermittent,4,Not,HSS,HSS
ENSG00000007968,E2F2,435,Ohnolog,50.25,2254,Unknown,LECA,169,redundant,1,VIP,HSS,HSS
ENSG00000008018,PSMB1,796,SSD,33.38,3460,Unknown,LECA,170,redundant,3,VIP,HSS,HSS
ENSG00000008056,SYN1,435,Ohnolog,9.89,3428,Both,Bilateria,171,intermittent,4,Not,HSS,HSS
ENSG00000008083,JARID2,615,SSD,12.14,4446,Unknown,LECA,172,critical,2,Not,HSS,HSS
ENSG00000008086,CDKL5,413,SSD,13.18,1248,Dominant,LECA,138,intermittent,4,Not,HSS,HSS
ENSG00000008118,CAMK1G,435,Ohnolog,41.24,2826,Unknown,LECA,43,redundant,4,Not,Strict,ASN
ENSG00000008128,CDK11A,796,SSD,71.07,1272,Unknown,LECA,138,intermittent,4,Not,HSS,HSS
ENSG00000008130,NADK,435,Singleton,69.48,1564,Unknown,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000008196,TFAP2B,796,Ohnolog,2.98,1138,Dominant,Vertebrata,176,intermittent,2,Not,HSS,HSS
ENSG00000008197,TFAP2D,796,Ohnolog,7.15,386,Unknown,Vertebrata,176,redundant,4,Not,HSS,HSS
ENSG00000008256,CYTH3,615,Ohnolog,50.21,1154,Unknown,LECA,179,intermittent,1,Not,HSS,HSS
ENSG00000008277,ADAM22,158,SSD,15.06,1294,Recessive,Bilateria,180,redundant,4,Not,HSS,HSS
ENSG00000008282,SYPL1,615,Ohnolog,68.81,516,Unknown,Vertebrata,181,redundant,4,Not,HSS,HSS
ENSG00000008283,CYB561,796,Ohnolog,66.85,470,Recessive,LECA,182,intermittent,2,Not,HSS,HSS
ENSG00000008294,SPAG9,796,SSD,16.54,1310,Unknown,LECA,183,redundant,4,Not,HSS,HSS
ENSG00000008300,CELSR3,435,Ohnolog,42.41,1444,Unknown,LECA,184,redundant,4,Not,HSS,HSS
ENSG00000008311,AASS,796,Singleton,45.6,1168,Recessive,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000008323,PLEKHG6,158,Ohnolog,73.65,768,Unknown,LECA,185,redundant,4,Not,HSS,HSS
ENSG00000008324,SS18L2,435,Ohnolog,21.89,546,Unknown,LECA,186,redundant,4,Not,HSS,HSS
ENSG00000008382,MPND,435,Ohnolog,70.27,1734,None,LECA,187,redundant,4,Not,HSS,HSS
ENSG00000008394,MGST1,615,SSD,64.45,1070,Unknown,Chordata,188,intermittent,4,VIP,Intermediate,HSS
ENSG00000008405,CRY1,615,Ohnolog,7.03,1918,Dominant,Opisthokonta,189,intermittent,3,Not,HSS,HSS
ENSG00000008438,PGLYRP1,615,SSD,88.69,970,Unknown,Bilateria,190,intermittent,3,Not,HSS,HSS
ENSG00000008441,NFIX,796,Ohnolog,1.34,776,Dominant,Vertebrata,191,redundant,4,VIP,HSS,HSS
ENSG00000008513,ST3GAL1,615,Ohnolog,61.67,832,None,Chordata,192,critical,3,Not,Strict,ASN
ENSG00000008516,MMP25,615,Ohnolog,73.48,1122,Unknown,LECA,193,redundant,3,Not,HSS,HSS
ENSG00000008517,IL32,9,Singleton,99.95,688,Unknown,Singleton,0,redundant,3,Not,HSS,HSS
ENSG00000008710,PKD1,435,SSD,28.17,1160,Dominant,LECA,194,redundant,2,Not,HSS,HSS
ENSG00000008735,MAPK8IP2,435,Ohnolog,60.2,1862,Unknown,Bilateria,195,redundant,4,Not,HSS,HSS
ENSG00000008838,MED24,796,Singleton,23.04,892,Unknown,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000008853,RHOBTB2,615,Ohnolog,30.57,3566,Dominant,LECA,196,redundant,4,Not,HSS,HSS
ENSG00000008869,HEATR5B,796,Ohnolog,35.45,596,None,Vertebrata,197,redundant,2,Not,HSS,HSS
ENSG00000008952,SEC62,796,Singleton,12.97,1298,Unknown,Singleton,0,redundant,4,VIP,HSS,HSS
ENSG00000008988,RPS20,796,Singleton,29.1,3412,Unknown,Singleton,0,redundant,3,VIP,HSS,HSS
ENSG00000009307,CSDE1,615,Singleton,7.61,1152,Unknown,Singleton,0,redundant,4,VIP,HSS,HSS
ENSG00000009335,UBE3C,796,SSD,59.16,2140,Unknown,LECA,20,redundant,4,VIP,HSS,HSS
ENSG00000009413,REV3L,105,Ohnolog,0.03,2146,Unknown,Opisthokonta,199,redundant,2,Not,HSS,HSS
ENSG00000009694,TENM1,435,SSD,1.32,1220,Unknown,LECA,200,redundant,3,Not,HSS,HSS
ENSG00000009709,PAX7,615,Ohnolog,11.21,2400,Unknown,LECA,52,redundant,4,Not,HSS,HSS
ENSG00000009724,MASP2,615,Ohnolog,72.87,754,Recessive,LECA,202,intermittent,4,Not,HSS,HSS
ENSG00000009765,IYD,435,Singleton,67.58,1446,Recessive,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000009780,FAM76A,311,Ohnolog,20.45,384,None,Bilateria,203,redundant,4,Not,HSS,HSS
ENSG00000009790,TRAF3IP3,435,Ohnolog,55.7,998,Unknown,LECA,204,redundant,4,Not,Strict,ASN
ENSG00000009830,POMT2,796,SSD,44.09,896,Recessive,LECA,205,redundant,4,Not,HSS,HSS
ENSG00000009844,VTA1,796,Singleton,24.05,1206,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000009950,MLXIPL,615,Ohnolog,36.45,1316,Unknown,Bilateria,206,redundant,4,Not,HSS,HSS
ENSG00000009954,BAZ1B,351,SSD,23.74,2986,Unknown,LECA,207,redundant,4,VIP,HSS,HSS
ENSG00000010017,RANBP9,615,Ohnolog,15.22,964,Unknown,LECA,208,intermittent,1,VIP,HSS,HSS
ENSG00000010030,ETV7,615,Ohnolog,80.35,516,Unknown,Bilateria,117,redundant,4,Not,HSS,HSS
ENSG00000010072,SPRTN,796,Singleton,73.6,1008,Recessive,Singleton,0,redundant,4,Not,HSS,HSS
