Family_id,Total_members,Quarter,Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID
10283,48,12,ENSG00000240542,KRTAP9-1,105,SSD,NA,402,None,Euteleostomi,10283
10283,48,12,ENSG00000214518,KRTAP2-2,105,SSD,NA,412,None,Euteleostomi,10283
10283,48,12,ENSG00000221880,KRTAP1-3,105,SSD,NA,416,Unknown,Euteleostomi,10283
10283,48,12,ENSG00000185940,KRTAP5-5,105,SSD,NA,120,None,Euteleostomi,10283
10283,48,12,ENSG00000212659,KRTAP9-6,96,SSD,NA,358,None,Euteleostomi,10283
10283,48,12,ENSG00000239886,KRTAP9-2,96,SSD,NA,332,None,Euteleostomi,10283
10283,48,12,ENSG00000212725,KRTAP2-1,96,SSD,NA,446,None,Euteleostomi,10283
10283,48,12,ENSG00000212724,KRTAP2-3,96,SSD,NA,480,None,Euteleostomi,10283
10283,48,12,ENSG00000198443,KRTAP4-1,96,SSD,NA,382,None,Euteleostomi,10283
10283,48,12,ENSG00000198083,KRTAP9-9,96,SSD,NA,456,None,Euteleostomi,10283
10283,48,12,ENSG00000241595,KRTAP9-4,96,SSD,NA,432,None,Euteleostomi,10283
103,70,17.5,ENSG00000113368,LMNB1,615,Ohnolog,11.52,3036,Dominant,LECA,103
103,70,17.5,ENSG00000175084,DES,615,Ohnolog,0.99,1128,Both,LECA,103
103,70,17.5,ENSG00000176619,LMNB2,615,Ohnolog,53.02,2424,Both,LECA,103
103,70,17.5,ENSG00000111057,KRT18,615,SSD,24.42,2106,Recessive,LECA,103
103,70,17.5,ENSG00000277586,NEFL,615,Ohnolog,NA,2984,Both,LECA,103
103,70,17.5,ENSG00000170454,KRT75,615,SSD,36.65,616,Unknown,LECA,103
103,70,17.5,ENSG00000148798,INA,615,Ohnolog,26.82,1438,None,LECA,103
103,70,17.5,ENSG00000171345,KRT19,615,SSD,33.31,2062,Unknown,LECA,103
103,70,17.5,ENSG00000135406,PRPH,435,Ohnolog,10.24,282,Both,LECA,103
103,70,17.5,ENSG00000160789,LMNA,435,Ohnolog,1.72,4012,Both,LECA,103
103,70,17.5,ENSG00000026025,VIM,435,Ohnolog,0.41,3278,Dominant,LECA,103
103,70,17.5,ENSG00000264058,AC073508,435,SSD,NA,0,None,LECA,103
103,70,17.5,ENSG00000213424,KRT222,435,SSD,31.52,1240,None,LECA,103
103,70,17.5,ENSG00000104722,NEFM,435,Ohnolog,39,2480,Unknown,LECA,103
103,70,17.5,ENSG00000170819,BFSP2,435,SSD,50.53,504,Dominant,LECA,103
103,70,17.5,ENSG00000131095,GFAP,413,Ohnolog,1.41,4832,Dominant,LECA,103
103,70,17.5,ENSG00000187242,KRT12,351,SSD,53.37,924,Dominant,LECA,103
1032,4,1,ENSG00000198718,TOGARAM1,615,Ohnolog,NA,904,Unknown,LECA,1032
1033,8,2,ENSG00000074181,NOTCH3,615,Ohnolog,24.86,2944,Dominant,LECA,1033
1033,8,2,ENSG00000162804,SNED1,435,SSD,69.88,926,Unknown,LECA,1033
1034,4,1,ENSG00000175470,PPP2R2D,796,Ohnolog,75.78,2012,Unknown,LECA,1034
10353,4,1,ENSG00000176896,TCEANC,615,Ohnolog,74.5,810,None,LECA,10353
10354,4,1,ENSG00000232948,DEFB130A,105,SSD,NA,202,None,Eutheria,10354
10381,13,3.25,ENSG00000171847,FAM90A1,43,SSD,97.62,216,Unknown,Homininae,10381
10381,13,3.25,ENSG00000285607,AC084121,43,SSD,NA,0,None,Homininae,10381
10381,13,3.25,ENSG00000285687,AC134684,43,SSD,NA,0,None,Homininae,10381
104,36,9,ENSG00000198648,STK39,796,Ohnolog,6.91,1104,Unknown,LECA,104
104,36,9,ENSG00000141503,MINK1,796,Ohnolog,26.63,1482,Unknown,LECA,104
104,36,9,ENSG00000011566,MAP4K3,796,Ohnolog,13.46,958,Unknown,LECA,104
104,36,9,ENSG00000154310,TNIK,796,Ohnolog,8.03,1374,Recessive,LECA,104
104,36,9,ENSG00000115694,STK25,796,Ohnolog,40.39,1642,Unknown,LECA,104
104,36,9,ENSG00000104375,STK3,796,Ohnolog,4.75,1160,Unknown,LECA,104
104,36,9,ENSG00000180370,PAK2,796,Ohnolog,16.98,2590,Unknown,LECA,104
104,36,9,ENSG00000149269,PAK1,796,Ohnolog,3.16,2448,Dominant,LECA,104
104,36,9,ENSG00000077264,PAK3,796,Ohnolog,5.06,2788,Recessive,LECA,104
1042,19,4.75,ENSG00000162409,PRKAA2,796,Ohnolog,24.24,3506,Unknown,LECA,1042
1042,19,4.75,ENSG00000165304,MELK,796,SSD,13.11,3450,Unknown,LECA,1042
1042,19,4.75,ENSG00000170145,SIK2,796,Ohnolog,31,618,Unknown,LECA,1042
1042,19,4.75,ENSG00000139908,TSSK4,796,SSD,39.75,2364,Unknown,LECA,1042
1043,7,1.75,ENSG00000164062,APEH,796,SSD,6.88,1524,Unknown,LECA,1043
1044,5,1.25,ENSG00000074621,SLC24A1,796,SSD,79.17,690,Recessive,LECA,1044
1046,4,1,ENSG00000244486,SCARF2,435,SSD,70.17,730,Recessive,LECA,1046
1047,4,1,ENSG00000114988,LMAN2L,615,Ohnolog,27.15,950,Recessive,Opisthokonta,1047
1048,4,1,ENSG00000206527,HACD2,796,Ohnolog,19.76,924,Unknown,LECA,1048
1049,5,1.25,ENSG00000149970,CNKSR2,615,Ohnolog,7.56,1534,Unknown,Bilateria,1049
1051,4,1,ENSG00000074800,ENO1,796,SSD,1.52,4516,Unknown,LECA,1051
1059,33,8.25,ENSG00000075073,TACR2,796,Ohnolog,56.35,788,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000169836,TACR3,796,Ohnolog,49.24,1066,Recessive,Bilateria,1059
1059,33,8.25,ENSG00000115353,TACR1,796,Ohnolog,18.86,1442,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000119973,PRLHR,615,SSD,61.79,770,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000168412,MTNR1A,615,Ohnolog,72.55,1110,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000185149,NPY2R,615,SSD,37.43,1526,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000183150,GPR19,615,SSD,55.2,326,Unknown,Bilateria,1059
1059,33,8.25,ENSG00000152034,MCHR2,615,SSD,40.65,1148,Unknown,Bilateria,1059
106,6,1.5,ENSG00000006116,CACNG3,615,Ohnolog,23.44,2022,Unknown,Bilateria,106
1060,27,6.75,ENSG00000138071,ACTR2,796,SSD,8.79,3432,Unknown,LECA,1060
1060,27,6.75,ENSG00000131966,ACTR10,796,SSD,14.58,3108,None,LECA,1060
1060,27,6.75,ENSG00000115091,ACTR3,796,Ohnolog,16.88,3012,Unknown,LECA,1060
1060,27,6.75,ENSG00000113812,ACTR8,796,SSD,25.35,1680,None,LECA,1060
1060,27,6.75,ENSG00000101442,ACTR5,796,SSD,47.44,754,None,LECA,1060
1060,27,6.75,ENSG00000075089,ACTR6,796,SSD,7.31,1148,None,LECA,1060
10652,6,1.5,ENSG00000285749,AC097636,311,SSD,NA,2,None,LECA,10652
107,5,1.25,ENSG00000151952,TMEM132D,435,Ohnolog,79.41,1014,Unknown,LECA,107
1073,12,3,ENSG00000145715,RASA1,796,SSD,2.57,1936,Dominant,LECA,1073
1073,12,3,ENSG00000075391,RASAL2,615,Ohnolog,11.54,1502,Unknown,LECA,1073
1073,12,3,ENSG00000185989,RASA3,615,Ohnolog,55.88,1086,Unknown,LECA,1073
1074,8,2,ENSG00000165219,GAPVD1,615,SSD,16.34,2702,Unknown,LECA,1074
1074,8,2,ENSG00000154710,RABGEF1,615,SSD,27.21,3614,Unknown,LECA,1074
10781,8,2,ENSG00000273976,GOLGA6L1,29,SSD,93.48,258,None,Catarrhini,10781
10781,8,2,ENSG00000277322,GOLGA6L6,29,SSD,93.81,238,None,Catarrhini,10781
1079,9,2.25,ENSG00000075426,FOSL2,615,Ohnolog,25.31,1728,Unknown,Bilateria,1079
1079,9,2.25,ENSG00000175592,FOSL1,615,Ohnolog,21.26,2302,Unknown,Bilateria,1079
108,5,1.25,ENSG00000100280,AP1B1,796,Ohnolog,25.03,1888,Unknown,LECA,108
1086,4,1,ENSG00000075643,MOCOS,796,SSD,72.09,1008,Recessive,Bilateria,1086
109,31,7.75,ENSG00000106261,ZKSCAN1,158,SSD,51.93,670,Unknown,LECA,109
109,31,7.75,ENSG00000122386,ZNF205,158,SSD,82.8,680,Unknown,LECA,109
109,31,7.75,ENSG00000103199,ZNF500,158,SSD,85.93,710,None,LECA,109
109,31,7.75,ENSG00000158691,ZSCAN12,158,SSD,77.66,458,Unknown,LECA,109
109,31,7.75,ENSG00000186496,ZNF396,158,SSD,85.5,414,Unknown,LECA,109
109,31,7.75,ENSG00000006194,ZNF263,158,SSD,53.26,898,Unknown,LECA,109
109,31,7.75,ENSG00000172466,ZNF24,158,SSD,46.44,746,Unknown,LECA,109
1090,4,1,ENSG00000150672,DLG2,615,SSD,1.29,3282,Unknown,LECA,1090
1094,4,1,ENSG00000123329,ARHGAP9,435,SSD,63.22,1700,Unknown,LECA,1094
11,20,5,ENSG00000082684,SEMA5B,615,Ohnolog,38.19,1410,None,LECA,11
11,20,5,ENSG00000092421,SEMA6A,615,Ohnolog,6.35,1484,Unknown,LECA,11
11,20,5,ENSG00000010319,SEMA3G,615,SSD,68.59,910,None,LECA,11
11,20,5,ENSG00000001617,SEMA3F,615,SSD,14.85,1282,Unknown,LECA,11
11,20,5,ENSG00000012171,SEMA3B,615,SSD,NA,1112,Unknown,LECA,11
110,28,7,ENSG00000275152,CCL16,435,SSD,93.48,792,Unknown,Gnathostomata,110
110,28,7,ENSG00000275688,CCL15-CCL14,435,SSD,NA,0,None,Gnathostomata,110
110,28,7,ENSG00000275302,CCL4,435,SSD,43.99,2672,Unknown,Gnathostomata,110
110,28,7,ENSG00000276409,CCL14,435,SSD,94.46,530,Unknown,Gnathostomata,110
110,28,7,ENSG00000275385,CCL18,435,SSD,87.61,1088,Unknown,Gnathostomata,110
110,28,7,ENSG00000276085,CCL3L1,435,SSD,88.49,886,None,Gnathostomata,110
110,28,7,ENSG00000277632,CCL3,311,SSD,61.84,2338,Unknown,Gnathostomata,110
1107,24,6,ENSG00000091844,RGS17,796,Ohnolog,23.23,846,None,LECA,1107
1107,24,6,ENSG00000159788,RGS12,615,Ohnolog,76.68,1078,Unknown,LECA,1107
1107,24,6,ENSG00000182732,RGS6,615,Ohnolog,12.13,1216,Unknown,LECA,1107
1107,24,6,ENSG00000182901,RGS7,615,Ohnolog,10.93,2202,Unknown,LECA,1107
1107,24,6,ENSG00000076344,RGS11,615,SSD,78.72,1412,Unknown,LECA,1107
1107,24,6,ENSG00000108370,RGS9,615,SSD,55.97,906,Unknown,LECA,1107
11075,4,1,ENSG00000183496,MEX3B,615,Ohnolog,62.71,560,Unknown,LECA,11075
11081,4,1,ENSG00000238083,LRRC37A2,43,SSD,98.27,804,Unknown,LECA,11081
111,28,7,ENSG00000102452,NALCN,796,SSD,24.28,1538,Both,LECA,111
111,28,7,ENSG00000185313,SCN10A,615,Ohnolog,34.89,1536,Dominant,LECA,111
111,28,7,ENSG00000162341,TPCN2,615,SSD,77.23,920,None,LECA,111
111,28,7,ENSG00000081248,CACNA1S,615,Ohnolog,25.88,1892,Dominant,LECA,111
111,28,7,ENSG00000148408,CACNA1B,615,Ohnolog,40.5,2798,Unknown,LECA,111
111,28,7,ENSG00000007314,SCN4A,615,Ohnolog,27.91,1482,Both,LECA,111
111,28,7,ENSG00000186815,TPCN1,615,SSD,43.77,928,Unknown,LECA,111
1111,4,1,ENSG00000118454,ANKRD13C,796,SSD,23.04,262,Unknown,LECA,1111
11118,4,1,ENSG00000188612,SUMO2,796,SSD,1.2,5078,None,LECA,11118
1112,5,1.25,ENSG00000101150,TPD52L2,615,Ohnolog,48.96,604,Unknown,Bilateria,1112
1113,5,1.25,ENSG00000076555,ACACB,796,SSD,49.54,2020,Unknown,LECA,1113
1115,5,1.25,ENSG00000105376,ICAM5,158,SSD,67.17,776,Unknown,Euteleostomi,1115
1116,5,1.25,ENSG00000178425,NT5DC1,796,SSD,58.95,252,None,LECA,1116
1117,4,1,ENSG00000170017,ALCAM,435,Ohnolog,13.76,1296,Unknown,Vertebrata,1117
1119,4,1,ENSG00000076770,MBNL3,615,Ohnolog,23.78,918,Unknown,Bilateria,1119
112,10,2.5,ENSG00000006377,DLX6,615,Ohnolog,3.97,1104,Unknown,LECA,112
112,10,2.5,ENSG00000105880,DLX5,615,Ohnolog,0.99,0,Recessive,LECA,112
1121,7,1.75,ENSG00000136895,GARNL3,615,SSD,20.58,416,None,LECA,1121
1124,10,2.5,ENSG00000139719,VPS33A,796,SSD,46.3,1102,Recessive,LECA,1124
1124,10,2.5,ENSG00000184056,VPS33B,796,SSD,31.56,1178,Recessive,LECA,1124
11255,11,2.75,ENSG00000187791,FAM205C,105,SSD,NA,0,None,Eutheria,11255
11255,11,2.75,ENSG00000177992,SPATA31E1,43,SSD,99.84,42,None,Eutheria,11255
1126,4,1,ENSG00000164172,MOCS2,615,SSD,38.56,920,Recessive,LECA,1126
1128,5,1.25,ENSG00000115183,TANC1,615,Ohnolog,9.07,2174,Unknown,LECA,1128
113,25,6.25,ENSG00000116783,TNNI3K,796,SSD,17.73,1918,Dominant,LECA,113
113,25,6.25,ENSG00000166333,ILK,796,SSD,2.82,3224,Unknown,LECA,113
113,25,6.25,ENSG00000139625,MAP3K12,796,Ohnolog,24.82,878,Unknown,LECA,113
113,25,6.25,ENSG00000259030,FPGT-TNNI3K,796,SSD,NA,1504,None,LECA,113
113,25,6.25,ENSG00000091436,MAP3K20,615,SSD,NA,1596,Recessive,LECA,113
113,25,6.25,ENSG00000157764,BRAF,615,Ohnolog,8.98,2912,Dominant,LECA,113
1132,6,1.5,ENSG00000125304,TM9SF2,796,SSD,22.37,918,Unknown,LECA,1132
1133,5,1.25,ENSG00000162924,REL,615,Ohnolog,0.91,3384,Unknown,LECA,1133
1134,27,6.75,ENSG00000104343,UBE2W,796,SSD,11.9,2698,Unknown,LECA,1134
1134,27,6.75,ENSG00000258984,UBE2F-SCLY,796,SSD,NA,0,None,LECA,1134
1134,27,6.75,ENSG00000132388,UBE2G1,796,SSD,4.13,3454,Unknown,LECA,1134
1134,27,6.75,ENSG00000166971,AKTIP,796,SSD,25.56,1330,Unknown,LECA,1134
1134,27,6.75,ENSG00000198833,UBE2J1,796,SSD,29.27,3080,Unknown,LECA,1134
1134,27,6.75,ENSG00000108106,UBE2S,796,SSD,10.73,4490,Unknown,LECA,1134
11359,4,1,ENSG00000256537,SMIM10L1,435,SSD,NA,0,None,Eutheria,11359
1137,8,2,ENSG00000187266,EPOR,351,SSD,16.65,1348,None,Gnathostomata,1137
1137,8,2,ENSG00000100368,CSF2RB,311,SSD,89.46,1790,Recessive,Gnathostomata,1137
11373,5,1.25,ENSG00000180104,EXOC3,615,Ohnolog,48.58,1596,Unknown,LECA,11373
11393,6,1.5,ENSG00000179930,ZNF648,435,SSD,88.19,378,None,LECA,11393
114,36,9,ENSG00000126458,RRAS,796,Ohnolog,38,4162,Unknown,LECA,114
114,36,9,ENSG00000125249,RAP2A,796,SSD,37.63,3312,Unknown,LECA,114
114,36,9,ENSG00000123728,RAP2C,796,SSD,9.2,3370,Unknown,LECA,114
114,36,9,ENSG00000158186,MRAS,796,SSD,24.98,3048,Unknown,LECA,114
114,36,9,ENSG00000152214,RIT2,796,SSD,23.27,4280,Unknown,LECA,114
114,36,9,ENSG00000174775,HRAS,796,Ohnolog,0.08,11264,Dominant,LECA,114
114,36,9,ENSG00000165023,DIRAS2,796,Ohnolog,36.1,4050,Unknown,LECA,114
114,36,9,ENSG00000006451,RALA,615,Ohnolog,3.09,3384,Unknown,LECA,114
114,36,9,ENSG00000166592,RRAD,615,Ohnolog,62.19,3072,Unknown,LECA,114
1141,7,1.75,ENSG00000114738,MAPKAPK3,796,Ohnolog,32.41,956,Dominant,LECA,1141
1144,8,2,ENSG00000122735,DNAI1,796,SSD,11.63,824,Recessive,LECA,1144
1144,8,2,ENSG00000158560,DYNC1I1,796,Ohnolog,14.82,2128,Unknown,LECA,1144
1145,5,1.25,ENSG00000173166,RAPH1,615,Ohnolog,20.23,796,None,Bilateria,1145
1159,7,1.75,ENSG00000077942,FBLN1,796,Ohnolog,49.78,1570,Dominant,LECA,1159
116,5,1.25,ENSG00000173120,KDM2A,615,Ohnolog,16.17,2174,Unknown,LECA,116
1161,12,3,ENSG00000077984,CST7,435,SSD,84.31,1122,Unknown,Bilateria,1161
1161,12,3,ENSG00000101439,CST3,435,SSD,86.24,1524,Dominant,Bilateria,1161
1161,12,3,ENSG00000175315,CST6,311,SSD,83.96,502,Unknown,Bilateria,1161
1164,4,1,ENSG00000147439,BIN3,615,SSD,26.64,1654,Unknown,Opisthokonta,1164
11687,4,1,ENSG00000181788,SIAH2,796,SSD,27.57,1794,Unknown,LECA,11687
117,30,7.5,ENSG00000154727,GABPA,796,SSD,16.15,1676,Unknown,Bilateria,117
117,30,7.5,ENSG00000175832,ETV4,615,Ohnolog,3.98,1742,Unknown,Bilateria,117
117,30,7.5,ENSG00000111145,ELK3,615,SSD,14.14,578,Unknown,Bilateria,117
117,30,7.5,ENSG00000010030,ETV7,615,Ohnolog,80.35,516,Unknown,Bilateria,117
117,30,7.5,ENSG00000109381,ELF2,615,Ohnolog,31.17,576,None,Bilateria,117
117,30,7.5,ENSG00000135373,EHF,615,Ohnolog,15.37,1108,Unknown,Bilateria,117
117,30,7.5,ENSG00000124664,SPDEF,615,SSD,36.78,964,Unknown,Bilateria,117
1173,6,1.5,ENSG00000112041,TULP1,796,SSD,57.12,832,Recessive,LECA,1173
1174,14,3.5,ENSG00000112367,FIG4,796,SSD,24.17,1326,Both,LECA,1174
1174,14,3.5,ENSG00000148384,INPP5E,796,SSD,77.32,1210,Recessive,LECA,1174
1174,14,3.5,ENSG00000211456,SACM1L,796,SSD,13.81,2262,Unknown,LECA,1174
1179,5,1.25,ENSG00000215612,HMX1,615,Ohnolog,66.38,1048,Recessive,LECA,1179
118,5,1.25,ENSG00000188452,CERKL,615,SSD,41.25,1300,Unknown,LECA,118
11802,10,2.5,ENSG00000182591,KRTAP11-1,176,SSD,NA,460,Unknown,Mammalia,11802
11802,10,2.5,ENSG00000197683,KRTAP26-1,105,SSD,NA,488,None,Mammalia,11802
1185,17,4.25,ENSG00000125245,GPR18,615,SSD,50.01,1010,Unknown,Bilateria,1185
1185,17,4.25,ENSG00000152207,CYSLTR2,615,SSD,69.61,762,Unknown,Bilateria,1185
1185,17,4.25,ENSG00000173198,CYSLTR1,615,SSD,52.42,1144,Unknown,Bilateria,1185
1185,17,4.25,ENSG00000181104,F2R,435,SSD,70.85,1654,Unknown,Bilateria,1185
1189,6,1.5,ENSG00000162191,UBXN1,796,SSD,37.85,900,Unknown,LECA,1189
119,19,4.75,ENSG00000119711,ALDH6A1,796,SSD,20.3,1074,Recessive,LECA,119
119,19,4.75,ENSG00000111275,ALDH2,796,SSD,34.74,2166,Dominant,LECA,119
119,19,4.75,ENSG00000257767,AC002996,796,SSD,NA,2008,None,LECA,119
119,19,4.75,ENSG00000118514,ALDH8A1,796,SSD,50.43,1404,Unknown,LECA,119
11967,8,2,ENSG00000183632,TP53TG3,15,SSD,94.39,176,Unknown,Homininae,11967
11967,8,2,ENSG00000275034,TP53TG3E,15,SSD,NA,162,None,Homininae,11967
1197,13,3.25,ENSG00000100979,PLTP,435,Ohnolog,57,1004,None,Bilateria,1197
1197,13,3.25,ENSG00000087237,CETP,435,SSD,75.02,1060,None,Bilateria,1197
1197,13,3.25,ENSG00000186190,BPIFB3,311,SSD,72.06,252,Unknown,Bilateria,1197
12,12,3,ENSG00000006071,ABCC8,615,SSD,1.79,2794,Both,LECA,12
12,12,3,ENSG00000125257,ABCC4,615,SSD,44.07,0,Unknown,LECA,12
12,12,3,ENSG00000103222,ABCC1,435,Ohnolog,52.94,1880,Unknown,LECA,12
1205,7,1.75,ENSG00000110436,SLC1A2,615,SSD,11.24,2860,Dominant,Bilateria,1205
1210,7,1.75,ENSG00000171862,PTEN,796,SSD,0.07,8330,Dominant,LECA,1210
1213,9,2.25,ENSG00000184007,PTP4A2,796,Ohnolog,11.04,0,Unknown,LECA,1213
1213,9,2.25,ENSG00000079335,CDC14A,615,Ohnolog,12.3,2462,Recessive,LECA,1213
1216,5,1.25,ENSG00000079387,SENP1,435,Ohnolog,16.49,1346,Unknown,LECA,1216
12166,6,1.5,ENSG00000184814,PRR23B,105,SSD,93.72,80,None,Euarchontoglires,12166
1217,31,7.75,ENSG00000198252,STYX,796,SSD,11.51,1304,Unknown,LECA,1217
1217,31,7.75,ENSG00000110536,PTPMT1,796,SSD,63.13,856,None,LECA,1217
1217,31,7.75,ENSG00000111266,DUSP16,615,Ohnolog,19.99,1770,Unknown,LECA,1217
1217,31,7.75,ENSG00000120875,DUSP4,615,Ohnolog,50.05,2124,Unknown,LECA,1217
1217,31,7.75,ENSG00000162999,DUSP19,615,SSD,37.32,1240,None,LECA,1217
1217,31,7.75,ENSG00000188542,DUSP28,615,SSD,82.46,1114,None,LECA,1217
1217,31,7.75,ENSG00000112679,DUSP22,615,Ohnolog,38.68,1894,Unknown,LECA,1217
122,11,2.75,ENSG00000137135,ARHGEF39,615,SSD,28.14,492,None,Opisthokonta,122
122,11,2.75,ENSG00000139132,FGD4,615,Ohnolog,50.19,1188,Recessive,Opisthokonta,122
1221,4,1,ENSG00000145321,GC,435,SSD,57.25,1238,Unknown,Euteleostomi,1221
1227,7,1.75,ENSG00000198836,OPA1,796,SSD,6.94,2256,Both,LECA,1227
1229,5,1.25,ENSG00000079841,RIMS1,615,SSD,9.51,2250,Unknown,LECA,1229
1231,14,3.5,ENSG00000254995,STX16-NPEPL1,796,SSD,NA,0,None,LECA,1231
1231,14,3.5,ENSG00000135604,STX11,796,SSD,37.4,1842,Recessive,LECA,1231
1231,14,3.5,ENSG00000106089,STX1A,796,Ohnolog,22.82,2550,Unknown,LECA,1231
1237,12,3,ENSG00000080189,SLC35C2,796,SSD,39.63,758,None,LECA,1237
1237,12,3,ENSG00000181830,SLC35C1,796,SSD,48.28,662,Recessive,LECA,1237
1237,12,3,ENSG00000127526,SLC35E1,796,SSD,62.25,418,None,LECA,1237
1238,15,3.75,ENSG00000100053,CRYBB3,615,SSD,53.23,332,Both,LECA,1238
1238,15,3.75,ENSG00000213139,CRYGS,615,SSD,23.2,410,Dominant,LECA,1238
1238,15,3.75,ENSG00000127377,CRYGN,615,SSD,77.24,250,None,LECA,1238
1241,8,2,ENSG00000080298,RFX3,796,Ohnolog,7.5,1574,Unknown,Bilateria,1241
1241,8,2,ENSG00000132005,RFX1,796,Ohnolog,46.05,2052,Unknown,Bilateria,1241
12428,4,1,ENSG00000187808,SOWAHD,435,SSD,81.02,120,None,Vertebrata,12428
1245,14,3.5,ENSG00000100612,DHRS7,796,SSD,65.61,706,Unknown,LECA,1245
1245,14,3.5,ENSG00000278535,DHRS11,796,SSD,34.53,886,Unknown,LECA,1245
1245,14,3.5,ENSG00000119471,HSDL2,796,SSD,33.45,1454,None,LECA,1245
1247,85,21.25,ENSG00000100505,TRIM9,615,Ohnolog,17.57,2218,Unknown,LECA,1247
1247,85,21.25,ENSG00000101871,MID1,615,Ohnolog,5.13,1244,Recessive,LECA,1247
1247,85,21.25,ENSG00000147573,TRIM55,615,Ohnolog,30.96,978,Unknown,LECA,1247
1247,85,21.25,ENSG00000158022,TRIM63,615,Ohnolog,24.18,2122,Unknown,LECA,1247
