Gene_ID,AGE_OF_ROOT,FAMILY
ENSG00000007255,Gnathostomata,149
ENSG00000007264,LECA,5
ENSG00000007306,Vertebrata,143
ENSG00000007312,Euteleostomi,152
ENSG00000007314,LECA,111
ENSG00000007341,Gnathostomata,54
ENSG00000007350,LECA,155
ENSG00000007372,LECA,52
ENSG00000007376,LECA,157
ENSG00000007384,Opisthokonta,158
ENSG00000007392,LECA,159
ENSG00000007402,Bilateria,160
ENSG00000007516,LECA,161
ENSG00000007545,Amniota,162
ENSG00000007866,Chordata,163
ENSG00000007908,LECA,6
ENSG00000007923,LECA,165
ENSG00000007933,Bilateria,166
ENSG00000007944,LECA,167
ENSG00000007952,LECA,168
ENSG00000007968,LECA,169
ENSG00000008018,LECA,170
ENSG00000008056,Bilateria,171
ENSG00000008083,LECA,172
ENSG00000008086,LECA,138
ENSG00000008118,LECA,43
ENSG00000008128,LECA,138
ENSG00000008196,Vertebrata,176
ENSG00000008197,Vertebrata,176
ENSG00000008226,LECA,178
ENSG00000008256,LECA,179
ENSG00000008277,Bilateria,180
ENSG00000008282,Vertebrata,181
ENSG00000008283,LECA,182
ENSG00000008294,LECA,183
ENSG00000008300,LECA,184
ENSG00000008323,LECA,185
ENSG00000008324,LECA,186
ENSG00000008382,LECA,187
ENSG00000008394,Chordata,188
ENSG00000008405,Opisthokonta,189
ENSG00000008438,Bilateria,190
ENSG00000008441,Vertebrata,191
ENSG00000008513,Chordata,192
ENSG00000008516,LECA,193
ENSG00000008710,LECA,194
ENSG00000008735,Bilateria,195
ENSG00000008853,LECA,196
ENSG00000008869,Vertebrata,197
ENSG00000009335,LECA,20
ENSG00000009413,Opisthokonta,199
ENSG00000009694,LECA,200
ENSG00000009709,LECA,52
ENSG00000009724,LECA,202
ENSG00000009780,Bilateria,203
ENSG00000009790,LECA,204
ENSG00000009830,LECA,205
ENSG00000009950,Bilateria,206
ENSG00000009954,LECA,207
ENSG00000010017,LECA,208
ENSG00000010030,Bilateria,117
ENSG00000010165,LECA,210
ENSG00000010219,LECA,211
ENSG00000010256,LECA,212
ENSG00000010270,LECA,213
ENSG00000010278,Bilateria,1
ENSG00000010282,Bilateria,215
ENSG00000010292,LECA,216
ENSG00000010295,Gnathostomata,217
ENSG00000010310,LECA,57
ENSG00000010318,LECA,219
ENSG00000010319,LECA,11
ENSG00000010322,Bilateria,221
ENSG00000010327,LECA,222
ENSG00000010379,Bilateria,223
ENSG00000010404,Bilateria,134
ENSG00000010438,LECA,225
ENSG00000010539,LECA,226
ENSG00000010626,LECA,227
ENSG00000010671,LECA,5
ENSG00000010704,Gnathostomata,229
ENSG00000010803,Bilateria,230
ENSG00000010810,LECA,5
ENSG00000010818,LECA,232
ENSG00000010932,Bilateria,166
ENSG00000011007,Eutheria,234
ENSG00000011009,Opisthokonta,235
ENSG00000011021,LECA,236
ENSG00000011028,Vertebrata,237
ENSG00000011052,LECA,238
ENSG00000011083,Bilateria,223
ENSG00000011105,Bilateria,1
ENSG00000011132,LECA,241
ENSG00000011143,LECA,242
ENSG00000011198,LECA,243
ENSG00000011243,Gnathostomata,244
ENSG00000011258,Bilateria,230
ENSG00000011275,Bilateria,246
ENSG00000011304,LECA,247
ENSG00000011332,LECA,248
ENSG00000011347,LECA,249
ENSG00000011376,LECA,250
ENSG00000011405,LECA,251
ENSG00000011422,Amniota,252
ENSG00000011426,Bilateria,253
ENSG00000011451,LECA,254
ENSG00000011454,LECA,255
ENSG00000011465,LECA,256
ENSG00000011478,LECA,257
ENSG00000011485,LECA,258
ENSG00000011523,LECA,259
ENSG00000011566,LECA,104
ENSG00000011590,LECA,261
ENSG00000011677,Bilateria,262
ENSG00000012124,Gnathostomata,263
ENSG00000012171,LECA,11
ENSG00000012211,LECA,265
ENSG00000012223,Bilateria,266
ENSG00000012232,LECA,267
ENSG00000012504,Bilateria,268
ENSG00000012660,LECA,269
ENSG00000012779,LECA,270
ENSG00000012817,LECA,172
ENSG00000012822,LECA,272
ENSG00000012963,Eutheria,273
ENSG00000012983,LECA,104
ENSG00000013016,LECA,275
ENSG00000013275,LECA,276
ENSG00000013288,LECA,277
ENSG00000013293,Opisthokonta,34
ENSG00000013297,Chordata,279
ENSG00000013306,LECA,53
ENSG00000013375,Opisthokonta,281
ENSG00000013392,Gnathostomata,282
ENSG00000013441,LECA,211
ENSG00000013503,LECA,284
ENSG00000013523,LECA,285
ENSG00000013561,LECA,13
ENSG00000013563,Vertebrata,287
ENSG00000013573,LECA,288
ENSG00000013583,Chordata,289
ENSG00000013588,Vertebrata,290
ENSG00000013725,LECA,291
ENSG00000013810,Vertebrata,292
ENSG00000014138,Homininae,293
ENSG00000014164,Opisthokonta,294
ENSG00000014216,LECA,295
ENSG00000014257,LECA,296
ENSG00000014641,LECA,297
ENSG00000014914,LECA,33
ENSG00000014919,LECA,299
ENSG00000015133,LECA,300
ENSG00000015153,Bilateria,301
ENSG00000015171,LECA,302
ENSG00000015285,LECA,303
ENSG00000015413,Bilateria,304
ENSG00000015479,LECA,305
ENSG00000015520,LECA,306
ENSG00000015532,LECA,307
ENSG00000015568,LECA,308
ENSG00000015592,Chordata,309
ENSG00000015676,Bilateria,310
ENSG00000016082,Bilateria,311
ENSG00000016402,Vertebrata,312
ENSG00000016490,Chordata,313
ENSG00000016602,Chordata,313
ENSG00000016864,LECA,315
ENSG00000017260,LECA,316
ENSG00000017427,Vertebrata,317
ENSG00000017483,LECA,318
ENSG00000018189,LECA,319
ENSG00000018236,LECA,320
ENSG00000018280,LECA,321
ENSG00000018408,LECA,322
ENSG00000018510,Opisthokonta,323
ENSG00000018625,LECA,316
ENSG00000018869,LECA,325
ENSG00000019102,Chordata,326
ENSG00000019144,Bilateria,327
ENSG00000019169,LECA,328
ENSG00000019186,LECA,329
ENSG00000019485,Bilateria,330
ENSG00000019505,LECA,249
ENSG00000019549,LECA,261
ENSG00000019991,LECA,333
ENSG00000020181,LECA,57
ENSG00000020256,LECA,335
ENSG00000020577,Opisthokonta,336
ENSG00000020633,Bilateria,337
ENSG00000021300,Gnathostomata,338
ENSG00000021355,LECA,339
ENSG00000021461,LECA,340
ENSG00000021488,Opisthokonta,34
ENSG00000021574,LECA,342
ENSG00000021645,LECA,343
ENSG00000021762,LECA,101
ENSG00000021776,LECA,60
ENSG00000021826,Opisthokonta,346
ENSG00000021852,LECA,6
ENSG00000022267,LECA,348
ENSG00000022355,Bilateria,262
ENSG00000022556,LECA,350
ENSG00000022567,Chordata,351
ENSG00000023041,LECA,352
ENSG00000023171,LECA,353
ENSG00000023191,LECA,354
ENSG00000023228,LECA,355
ENSG00000023318,LECA,356
ENSG00000023330,LECA,357
ENSG00000023445,LECA,358
ENSG00000023516,Gnathostomata,359
ENSG00000023572,LECA,360
ENSG00000023839,LECA,12
ENSG00000023892,LECA,362
ENSG00000023902,LECA,363
ENSG00000024048,Bilateria,364
ENSG00000024422,LECA,275
ENSG00000024526,LECA,366
ENSG00000024862,Gnathostomata,367
ENSG00000025039,LECA,368
ENSG00000025156,LECA,369
ENSG00000025293,Bilateria,370
ENSG00000025423,LECA,371
ENSG00000025434,Bilateria,268
ENSG00000025772,LECA,70
ENSG00000025800,LECA,374
ENSG00000026025,LECA,103
ENSG00000026036,LECA,288
ENSG00000026103,Chordata,377
ENSG00000026297,LECA,378
ENSG00000026508,LECA,379
ENSG00000026559,LECA,380
ENSG00000026652,LECA,381
ENSG00000026751,Gnathostomata,382
ENSG00000026950,LECA,383
ENSG00000027001,LECA,384
ENSG00000027075,LECA,385
ENSG00000027644,LECA,386
ENSG00000027697,Vertebrata,312
ENSG00000027847,Bilateria,388
ENSG00000027869,LECA,389
ENSG00000028116,LECA,390
ENSG00000028137,Chordata,377
ENSG00000028277,LECA,392
ENSG00000028310,LECA,393
ENSG00000028528,LECA,22
ENSG00000028839,LECA,395
ENSG00000029153,Bilateria,396
ENSG00000029363,Gnathostomata,397
ENSG00000029534,Bilateria,398
ENSG00000029639,LECA,399
ENSG00000029725,LECA,400
ENSG00000029993,LECA,401
ENSG00000030110,Bilateria,402
ENSG00000030304,LECA,386
ENSG00000030419,LECA,404
ENSG00000031003,LECA,405
ENSG00000031081,LECA,46
ENSG00000031698,Opisthokonta,407
ENSG00000031823,LECA,308
ENSG00000032219,LECA,409
ENSG00000032444,Opisthokonta,410
ENSG00000032742,LECA,411
ENSG00000033011,LECA,412
ENSG00000033050,LECA,413
ENSG00000033100,LECA,414
ENSG00000033122,LECA,415
ENSG00000033178,LECA,416
ENSG00000033327,Bilateria,327
ENSG00000033627,LECA,418
ENSG00000033800,LECA,419
ENSG00000033867,LECA,56
ENSG00000034053,LECA,241
ENSG00000034152,LECA,104
ENSG00000034239,LECA,423
ENSG00000034677,LECA,13
ENSG00000034713,LECA,425
ENSG00000034971,LECA,426
ENSG00000035403,Bilateria,427
ENSG00000035499,LECA,366
ENSG00000035664,LECA,429
ENSG00000035681,LECA,430
ENSG00000035687,LECA,431
ENSG00000035720,Gnathostomata,432
ENSG00000035862,Bilateria,433
ENSG00000036257,LECA,434
ENSG00000036448,Bilateria,435
ENSG00000036473,Opisthokonta,346
ENSG00000036565,Opisthokonta,437
ENSG00000036672,LECA,438
ENSG00000036828,Chordata,439
ENSG00000037042,LECA,440
ENSG00000037241,LECA,441
ENSG00000037280,LECA,386
ENSG00000037474,LECA,443
ENSG00000037637,LECA,444
ENSG00000037749,Gnathostomata,445
ENSG00000037757,LECA,446
ENSG00000037965,LECA,64
ENSG00000038002,LECA,448
ENSG00000038210,Vertebrata,449
ENSG00000038219,Chordata,450
ENSG00000038295,LECA,343
ENSG00000038382,LECA,452
ENSG00000038427,LECA,453
ENSG00000038945,LECA,328
ENSG00000039068,LECA,455
ENSG00000039123,LECA,456
ENSG00000039139,LECA,146
ENSG00000039319,LECA,319
ENSG00000039523,LECA,459
ENSG00000039537,LECA,6
ENSG00000039600,LECA,88
ENSG00000039987,Bilateria,462
ENSG00000040199,LECA,415
ENSG00000040275,LECA,464
ENSG00000040341,LECA,465
ENSG00000040487,Opisthokonta,466
ENSG00000040608,LECA,256
ENSG00000040633,Gnathostomata,468
ENSG00000040731,LECA,455
ENSG00000040933,LECA,470
ENSG00000041353,LECA,471
ENSG00000041357,LECA,170
ENSG00000041515,LECA,136
ENSG00000041802,LECA,474
ENSG00000041880,LECA,475
ENSG00000041982,LECA,476
ENSG00000041988,Bilateria,477
ENSG00000042062,LECA,459
ENSG00000042304,Vertebrata,479
ENSG00000042429,Homo sapiens,480
ENSG00000042445,Bilateria,481
ENSG00000042493,LECA,133
ENSG00000042753,LECA,483
ENSG00000042781,LECA,484
ENSG00000042813,Gnathostomata,485
ENSG00000042832,LECA,486
ENSG00000042980,Bilateria,180
ENSG00000043039,LECA,488
ENSG00000043093,LECA,489
ENSG00000043143,LECA,490
ENSG00000043355,LECA,491
ENSG00000043462,LECA,492
ENSG00000043591,Bilateria,493
ENSG00000044012,Amniota,494
ENSG00000044090,Eutheria,495
ENSG00000044115,Bilateria,427
ENSG00000044446,Bilateria,497
ENSG00000044524,LECA,386
ENSG00000044574,LECA,499
ENSG00000046604,LECA,500
ENSG00000046653,Vertebrata,501
ENSG00000046774,LECA,502
ENSG00000046889,LECA,503
ENSG00000047056,LECA,504
ENSG00000047188,LECA,66
ENSG00000047230,Vertebrata,506
ENSG00000047315,LECA,284
ENSG00000047346,Vertebrata,74
ENSG00000047365,LECA,509
ENSG00000047457,LECA,343
ENSG00000047579,Bilateria,27
ENSG00000047597,Gnathostomata,512
ENSG00000047617,LECA,513
ENSG00000047634,Bilateria,230
ENSG00000047644,LECA,515
ENSG00000047648,Gnathostomata,516
ENSG00000047662,LECA,517
ENSG00000047849,LECA,518
ENSG00000047932,LECA,519
ENSG00000047936,LECA,386
ENSG00000048028,LECA,438
ENSG00000048052,LECA,522
ENSG00000048140,Bilateria,1
ENSG00000048342,Bilateria,524
ENSG00000048392,LECA,525
ENSG00000048462,Amniota,526
ENSG00000048471,LECA,319
ENSG00000048540,LECA,348
ENSG00000048545,LECA,423
ENSG00000048649,LECA,248
ENSG00000048707,LECA,531
ENSG00000048740,LECA,532
ENSG00000048828,Vertebrata,533
ENSG00000048991,Bilateria,534
ENSG00000049089,LECA,535
ENSG00000049167,LECA,536
ENSG00000049192,LECA,537
ENSG00000049239,LECA,538
ENSG00000049245,LECA,539
ENSG00000049246,LECA,540
ENSG00000049249,Chordata,377
ENSG00000049283,LECA,542
ENSG00000049323,LECA,543
ENSG00000049449,Bilateria,544
ENSG00000049541,LECA,545
ENSG00000049618,LECA,546
ENSG00000049656,LECA,547
ENSG00000049759,LECA,20
ENSG00000049768,Opisthokonta,549
ENSG00000049769,Opisthokonta,550
ENSG00000049860,Gnathostomata,551
ENSG00000050030,Opisthokonta,199
ENSG00000050327,Chordata,553
ENSG00000050344,Vertebrata,554
ENSG00000050393,Vertebrata,555
ENSG00000050426,LECA,556
ENSG00000050438,LECA,56
ENSG00000050555,LECA,484
ENSG00000050628,Bilateria,126
ENSG00000050730,LECA,560
ENSG00000050748,LECA,561
ENSG00000050767,LECA,535
ENSG00000050820,LECA,563
ENSG00000051009,Chordata,564
ENSG00000051108,LECA,565
ENSG00000051128,Bilateria,566
ENSG00000051180,LECA,567
ENSG00000051341,LECA,456
ENSG00000051382,LECA,251
ENSG00000051620,Chordata,289
ENSG00000052126,LECA,571
ENSG00000052723,Gnathostomata,572
ENSG00000052795,Euteleostomi,573
ENSG00000052802,LECA,574
ENSG00000052850,LECA,52
ENSG00000053108,LECA,576
ENSG00000053254,Chordata,577
ENSG00000053328,LECA,578
ENSG00000053371,LECA,579
ENSG00000053524,LECA,452
ENSG00000053702,LECA,581
ENSG00000053747,LECA,484
ENSG00000053918,LECA,380
ENSG00000054116,LECA,584
ENSG00000054118,Gnathostomata,397
ENSG00000054179,LECA,586
ENSG00000054219,Vertebrata,237
ENSG00000054267,LECA,409
ENSG00000054277,Bilateria,589
ENSG00000054356,LECA,590
ENSG00000054392,Bilateria,215
ENSG00000054523,LECA,592
ENSG00000054598,Opisthokonta,549
ENSG00000054611,LECA,255
ENSG00000054654,LECA,595
ENSG00000054690,Bilateria,596
ENSG00000054793,LECA,597
ENSG00000054803,LECA,598
ENSG00000054938,LECA,599
ENSG00000054965,Gnathostomata,600
ENSG00000054967,Chordata,377
ENSG00000055044,LECA,602
ENSG00000055118,LECA,603
ENSG00000055130,LECA,434
ENSG00000055147,Gnathostomata,605
ENSG00000055163,Gnathostomata,606
ENSG00000055208,LECA,607
ENSG00000055332,LECA,608
ENSG00000055483,LECA,438
ENSG00000055609,LECA,610
ENSG00000055732,Gnathostomata,611
ENSG00000055813,Bilateria,612
ENSG00000055917,LECA,613
ENSG00000055955,Chordata,614
ENSG00000055957,Chordata,614
ENSG00000056097,LECA,465
ENSG00000056277,LECA,617
ENSG00000056291,Bilateria,618
ENSG00000056487,LECA,302
ENSG00000056558,Bilateria,620
ENSG00000056586,Bilateria,621
ENSG00000056736,Bilateria,622
ENSG00000056998,LECA,623
ENSG00000057019,LECA,343
ENSG00000057149,LECA,339
ENSG00000057252,LECA,626
ENSG00000057294,LECA,627
ENSG00000057468,LECA,628
ENSG00000057593,LECA,629
ENSG00000057608,LECA,630
ENSG00000057657,LECA,261
ENSG00000057704,Bilateria,632
ENSG00000057935,Bilateria,633
ENSG00000058056,LECA,438
ENSG00000058063,LECA,597
ENSG00000058085,LECA,484
ENSG00000058091,LECA,138
ENSG00000058262,LECA,638
ENSG00000058272,Bilateria,639
ENSG00000058335,LECA,640
ENSG00000058404,LECA,43
ENSG00000058453,LECA,642
ENSG00000058668,LECA,316
ENSG00000058673,LECA,644
ENSG00000058729,LECA,645
ENSG00000058799,Vertebrata,646
ENSG00000058866,LECA,647
ENSG00000059122,Eutheria,648
ENSG00000059145,LECA,649
ENSG00000059378,LECA,650
ENSG00000059588,Opisthokonta,651
ENSG00000059728,Bilateria,652
ENSG00000059758,LECA,138
ENSG00000059769,LECA,165
ENSG00000059804,LECA,655
ENSG00000059915,LECA,179
ENSG00000060138,LECA,102
ENSG00000060140,LECA,5
ENSG00000060237,LECA,659
ENSG00000060339,LECA,660
ENSG00000060491,Vertebrata,661
ENSG00000060558,LECA,662
ENSG00000060566,Bilateria,663
ENSG00000060656,LECA,590
ENSG00000060688,LECA,144
ENSG00000060709,LECA,79
ENSG00000060718,LECA,535
ENSG00000060749,LECA,668
ENSG00000060762,LECA,669
ENSG00000060971,LECA,670
ENSG00000060982,Vertebrata,671
ENSG00000061273,LECA,522
ENSG00000061337,LECA,673
ENSG00000061455,LECA,261
ENSG00000061492,Bilateria,19
ENSG00000061656,LECA,676
ENSG00000061676,LECA,677
ENSG00000061918,LECA,678
ENSG00000061936,Bilateria,679
ENSG00000061938,LECA,5
ENSG00000061987,LECA,179
ENSG00000062038,LECA,455
ENSG00000062096,Bilateria,134
ENSG00000062194,Gnathostomata,684
ENSG00000062282,LECA,685
ENSG00000062370,LECA,89
ENSG00000062524,LECA,386
ENSG00000062598,LECA,688
ENSG00000062716,LECA,689
ENSG00000062725,LECA,690
ENSG00000062822,Opisthokonta,199
ENSG00000063015,LECA,6
ENSG00000063046,LECA,693
ENSG00000063127,Bilateria,223
ENSG00000063169,Vertebrata,695
ENSG00000063176,LECA,118
ENSG00000063180,LECA,697
ENSG00000063241,Bilateria,698
ENSG00000063244,LECA,699
ENSG00000063245,LECA,542
ENSG00000063438,Chordata,701
ENSG00000063515,LECA,52
ENSG00000063587,LECA,703
ENSG00000063601,LECA,33
ENSG00000063660,Bilateria,705
ENSG00000063761,LECA,706
ENSG00000063854,Opisthokonta,707
ENSG00000064012,Bilateria,29
ENSG00000064042,LECA,709
ENSG00000064195,LECA,112
ENSG00000064199,LECA,711
ENSG00000064201,Bilateria,1
ENSG00000064205,Bilateria,713
ENSG00000064218,Bilateria,714
ENSG00000064225,Chordata,192
ENSG00000064270,LECA,316
ENSG00000064300,Chordata,377
ENSG00000064309,LECA,320
ENSG00000064393,LECA,211
ENSG00000064419,LECA,720
ENSG00000064489,LECA,721
ENSG00000064490,LECA,722
ENSG00000064545,Vertebrata,723
ENSG00000064547,Chordata,724
ENSG00000064601,LECA,725
ENSG00000064607,LECA,726
ENSG00000064651,Opisthokonta,727
ENSG00000064652,LECA,728
ENSG00000064655,Bilateria,729
ENSG00000064666,LECA,730
ENSG00000064687,LECA,731
ENSG00000064703,LECA,732
ENSG00000064726,LECA,733
ENSG00000064763,LECA,734
ENSG00000064835,LECA,392
ENSG00000064886,LECA,736
ENSG00000064932,LECA,737
ENSG00000064933,LECA,738
ENSG00000064961,LECA,401
ENSG00000064989,LECA,57
ENSG00000064995,Eutheria,741
ENSG00000064999,Bilateria,742
ENSG00000065029,LECA,261
ENSG00000065054,LECA,744
ENSG00000065057,Opisthokonta,745
ENSG00000065060,Gnathostomata,746
ENSG00000065135,LECA,662
ENSG00000065150,LECA,748
ENSG00000065154,Opisthokonta,749
ENSG00000065183,LECA,750
ENSG00000065243,LECA,385
ENSG00000065308,LECA,752
ENSG00000065320,LECA,484
ENSG00000065325,LECA,57
ENSG00000065357,LECA,647
ENSG00000065361,LECA,386
ENSG00000065371,LECA,757
ENSG00000065413,Vertebrata,758
ENSG00000065427,LECA,759
ENSG00000065457,LECA,465
ENSG00000065485,LECA,356
ENSG00000065491,LECA,255
ENSG00000065526,LECA,763
ENSG00000065534,LECA,429
ENSG00000065559,LECA,765
ENSG00000065609,Vertebrata,766
ENSG00000065613,LECA,104
ENSG00000065615,LECA,768
ENSG00000065618,LECA,535
ENSG00000065621,LECA,770
ENSG00000065665,LECA,638
ENSG00000065675,LECA,772
ENSG00000065717,LECA,773
ENSG00000065802,Chordata,774
ENSG00000065809,Vertebrata,775
ENSG00000065833,Vertebrata,776
ENSG00000065882,LECA,255
ENSG00000065883,LECA,138
ENSG00000065911,LECA,779
ENSG00000065923,LECA,780
ENSG00000065970,Opisthokonta,549
ENSG00000065978,LECA,102
ENSG00000065989,LECA,783
ENSG00000066027,LECA,784
ENSG00000066032,Bilateria,427
ENSG00000066044,LECA,786
ENSG00000066056,LECA,386
ENSG00000066084,Bilateria,788
ENSG00000066117,Opisthokonta,789
ENSG00000066135,LECA,172
ENSG00000066136,LECA,791
ENSG00000066185,LECA,792
ENSG00000066230,LECA,780
ENSG00000066248,Chordata,553
ENSG00000066279,LECA,795
ENSG00000066294,Gnathostomata,382
ENSG00000066322,LECA,269
ENSG00000066336,Bilateria,117
ENSG00000066379,LECA,799
ENSG00000066382,Vertebrata,800
ENSG00000066405,Chordata,279
ENSG00000066422,LECA,95
ENSG00000066427,LECA,803
ENSG00000066468,LECA,386
ENSG00000066557,LECA,415
ENSG00000066583,Bilateria,698
ENSG00000066629,LECA,807
ENSG00000066735,LECA,592
ENSG00000066739,LECA,809
ENSG00000066777,LECA,179
ENSG00000066813,LECA,71
ENSG00000066827,LECA,95
ENSG00000066855,Vertebrata,813
ENSG00000066923,LECA,814
ENSG00000066933,LECA,136
ENSG00000067048,LECA,732
ENSG00000067057,LECA,817
ENSG00000067064,LECA,818
ENSG00000067066,LECA,401
ENSG00000067082,LECA,820
ENSG00000067113,LECA,821
ENSG00000067141,LECA,320
ENSG00000067167,LECA,752
ENSG00000067177,Bilateria,497
ENSG00000067182,Chordata,377
ENSG00000067191,LECA,826
ENSG00000067208,LECA,255
ENSG00000067221,LECA,828
ENSG00000067225,LECA,829
ENSG00000067248,LECA,66
ENSG00000067445,LECA,502
ENSG00000067560,LECA,196
ENSG00000067596,LECA,66
ENSG00000067606,LECA,385
ENSG00000067646,LECA,95
ENSG00000067704,LECA,250
ENSG00000067715,LECA,249
ENSG00000067798,LECA,838
ENSG00000067829,Opisthokonta,839
ENSG00000067840,LECA,840
ENSG00000067842,LECA,316
ENSG00000067900,LECA,842
ENSG00000067992,LECA,48
ENSG00000068001,Vertebrata,844
ENSG00000068024,LECA,522
ENSG00000068028,Bilateria,846
ENSG00000068078,LECA,386
ENSG00000068079,Gnathostomata,848
ENSG00000068120,Opisthokonta,849
ENSG00000068305,LECA,850
ENSG00000068308,LECA,851
ENSG00000068323,Bilateria,852
ENSG00000068354,LECA,255
ENSG00000068366,LECA,854
ENSG00000068438,LECA,855
ENSG00000068489,Vertebrata,856
ENSG00000068615,LECA,857
ENSG00000068650,LECA,597
ENSG00000068654,LECA,859
ENSG00000068697,Vertebrata,860
ENSG00000068724,LECA,411
ENSG00000068745,LECA,862
ENSG00000068781,LECA,863
ENSG00000068796,LECA,592
ENSG00000068831,LECA,640
ENSG00000068885,LECA,866
ENSG00000068903,LECA,867
ENSG00000068912,Bilateria,868
ENSG00000068971,LECA,784
ENSG00000068976,Vertebrata,870
ENSG00000068985,Eutheria,871
ENSG00000069011,LECA,52
ENSG00000069018,LECA,873
ENSG00000069020,LECA,874
ENSG00000069122,LECA,57
ENSG00000069188,LECA,320
ENSG00000069206,Bilateria,180
ENSG00000069275,Gnathostomata,878
ENSG00000069345,LECA,879
ENSG00000069399,Chordata,880
ENSG00000069424,LECA,579
ENSG00000069431,LECA,12
