Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID
ENSG00000004779,NDUFAB1,796,SSD,32.81,4144,Unknown,LECA,47
ENSG00000004799,PDK4,796,Ohnolog,26.05,2470,Unknown,LECA,48
ENSG00000004809,SLC22A16,435,Ohnolog,83.15,612,Unknown,LECA,49
ENSG00000004838,ZMYND10,796,SSD,15.47,564,Recessive,LECA,50
ENSG00000004846,ABCB5,435,SSD,46.5,1406,Unknown,LECA,51
ENSG00000004848,ARX,615,SSD,20.25,1394,Recessive,LECA,52
ENSG00000004864,SLC25A13,615,Ohnolog,25.1,1014,Recessive,LECA,53
ENSG00000004866,ST7,796,Ohnolog,8.29,298,Unknown,Gnathostomata,54
ENSG00000004897,CDC27,796,SSD,9.78,3818,Unknown,LECA,55
ENSG00000004939,SLC4A1,615,Ohnolog,46.73,1374,None,LECA,56
ENSG00000004948,CALCR,105,Ohnolog,45.96,1274,Dominant,LECA,57
ENSG00000004961,HCCS,796,Singleton,40.92,2378,Dominant,Singleton,0
ENSG00000004975,DVL2,435,Ohnolog,22.04,2672,Unknown,LECA,58
ENSG00000005001,PRSS22,158,SSD,83.82,736,Unknown,LECA,59
ENSG00000005007,UPF1,615,SSD,33.92,3322,Unknown,LECA,60
ENSG00000005020,SKAP2,435,SSD,4.84,870,Unknown,LECA,61
ENSG00000005022,SLC25A5,435,Ohnolog,38.57,2386,Unknown,LECA,53
ENSG00000005059,MCUB,435,Ohnolog,NA,370,None,LECA,63
ENSG00000005073,HOXA11,615,Ohnolog,3.2,1110,Dominant,LECA,64
ENSG00000005075,POLR2J,796,SSD,35.6,2522,Unknown,LECA,65
ENSG00000005100,DHX33,796,SSD,49.91,1998,Unknown,LECA,66
ENSG00000005102,MEOX1,796,Ohnolog,24.1,754,Recessive,LECA,67
ENSG00000005108,THSD7A,615,SSD,29.12,450,Unknown,LECA,68
ENSG00000005156,LIG3,796,SSD,3.17,2712,Unknown,LECA,69
ENSG00000005175,RPAP3,615,SSD,19.41,2328,Unknown,LECA,70
ENSG00000005187,ACSM3,435,SSD,40.62,1258,Unknown,LECA,71
ENSG00000005189,REXO5,435,SSD,NA,1008,None,LECA,72
ENSG00000005194,CIAPIN1,796,Singleton,52.43,822,Unknown,Singleton,0
ENSG00000005206,SPPL2B,615,Ohnolog,NA,576,Unknown,LECA,73
ENSG00000005238,FAM214B,435,SSD,16.84,230,None,Vertebrata,74
ENSG00000005243,COPZ2,796,SSD,37.68,1140,Unknown,LECA,75
ENSG00000005249,PRKAR2B,615,Ohnolog,13.52,2540,Unknown,LECA,76
ENSG00000005302,MSL3,796,SSD,43.72,1494,Unknown,LECA,77
ENSG00000005339,CREBBP,615,Ohnolog,0.62,6112,Dominant,LECA,78
ENSG00000005379,TSPOAP1,158,Ohnolog,NA,644,Unknown,LECA,79
ENSG00000005381,MPO,158,SSD,9.79,3236,Both,LECA,80
ENSG00000005421,PON1,435,SSD,24.46,1234,Unknown,Theria,81
ENSG00000005436,GCFC2,435,Ohnolog,68.95,1028,Unknown,Gnathostomata,82
ENSG00000005448,WDR54,615,SSD,53.8,128,None,LECA,83
ENSG00000005469,CROT,796,SSD,31.66,876,Unknown,LECA,84
ENSG00000005471,ABCB4,413,Ohnolog,32.55,1706,Both,LECA,51
ENSG00000005483,KMT2E,311,SSD,19.81,1954,Unknown,Opisthokonta,86
ENSG00000005486,RHBDD2,311,SSD,75.17,572,Unknown,Chordata,87
ENSG00000005513,SOX8,435,Ohnolog,50.08,2132,Unknown,LECA,88
ENSG00000005700,IBTK,435,Singleton,26.49,1178,Unknown,Singleton,0
ENSG00000005801,ZNF195,43,SSD,96.25,402,Unknown,LECA,89
ENSG00000005810,MYCBP2,413,SSD,9.45,1830,Unknown,LECA,90
ENSG00000005812,FBXL3,435,SSD,14.71,1902,Recessive,LECA,91
ENSG00000005844,ITGAL,158,SSD,70.04,2118,Unknown,LECA,92
ENSG00000005882,PDK2,796,Ohnolog,22.9,1690,Unknown,LECA,48
ENSG00000005884,ITGA3,435,Ohnolog,25.55,1570,Recessive,LECA,92
ENSG00000005889,ZFX,413,SSD,7.61,1586,Unknown,LECA,95
ENSG00000005893,LAMP2,435,Ohnolog,54.6,2548,Dominant,Chordata,96
ENSG00000005961,ITGA2B,435,Ohnolog,39.66,2070,Both,LECA,92
ENSG00000005981,ASB4,615,SSD,48.56,2848,Unknown,Opisthokonta,98
ENSG00000006007,GDE1,796,SSD,38.76,770,Unknown,LECA,99
ENSG00000006015,REX1BD,105,Singleton,NA,246,None,Singleton,0
ENSG00000006016,CRLF1,435,SSD,50.21,754,Recessive,Vertebrata,100
ENSG00000006025,AC003665,435,Ohnolog,NA,760,Unknown,LECA,101
ENSG00000006042,TMEM98,311,Singleton,33.69,244,Dominant,Singleton,0
ENSG00000006047,YBX2,796,Ohnolog,36.72,1254,Unknown,LECA,102
ENSG00000006059,KRT33A,176,SSD,51.24,518,Unknown,LECA,103
ENSG00000006062,MAP3K14,413,SSD,NA,3130,Unknown,LECA,104
ENSG00000006071,ABCC8,615,SSD,1.79,2794,Both,LECA,12
ENSG00000006116,CACNG3,615,Ohnolog,23.44,2022,Unknown,Bilateria,106
ENSG00000006118,TMEM132A,311,Ohnolog,68.37,632,Unknown,LECA,107
ENSG00000006125,AP2B1,105,Ohnolog,6.87,2334,Unknown,LECA,108
ENSG00000006128,TAC1,435,Singleton,3.65,2938,Unknown,Singleton,0
ENSG00000006194,ZNF263,158,SSD,53.26,898,Unknown,LECA,109
ENSG00000006210,CX3CL1,105,SSD,80.89,1828,Unknown,Gnathostomata,110
ENSG00000006282,SPATA20,796,Singleton,52.74,564,Unknown,Singleton,0
ENSG00000006283,CACNA1G,105,Ohnolog,23.14,1694,Dominant,LECA,111
ENSG00000006327,TNFRSF12A,311,Singleton,66.09,1150,Unknown,Singleton,0
ENSG00000006377,DLX6,615,Ohnolog,3.97,1104,Unknown,LECA,112
ENSG00000006432,MAP3K9,615,Ohnolog,37.92,2214,Unknown,LECA,113
ENSG00000006451,RALA,615,Ohnolog,3.09,3384,Unknown,LECA,114
ENSG00000006453,BAIAP2L1,435,Ohnolog,59.37,714,Unknown,Vertebrata,115
ENSG00000006459,KDM7A,413,Ohnolog,34.44,1628,None,LECA,116
ENSG00000006468,ETV1,615,Ohnolog,3.01,2078,Unknown,Bilateria,117
ENSG00000006530,AGK,615,SSD,51.17,0,Recessive,LECA,118
ENSG00000006534,ALDH3B1,96,SSD,68.12,1708,Unknown,LECA,119
ENSG00000006555,TTC22,413,Singleton,64.62,190,None,Singleton,0
ENSG00000006576,PHTF2,796,SSD,19.17,534,Unknown,Vertebrata,120
ENSG00000006606,CCL26,105,SSD,95.34,924,Unknown,Gnathostomata,110
ENSG00000006607,FARP2,615,Ohnolog,78.88,732,Unknown,Opisthokonta,122
ENSG00000006611,USH1C,615,SSD,22.32,1890,Recessive,LECA,123
ENSG00000006625,GGCT,796,SSD,33.08,832,Unknown,LECA,124
ENSG00000006634,DBF4,413,SSD,28.57,1536,Unknown,LECA,125
ENSG00000006638,TBXA2R,615,Ohnolog,77.11,1012,Dominant,Bilateria,126
ENSG00000006652,IFRD1,796,Ohnolog,23.92,958,Unknown,Vertebrata,127
ENSG00000006659,LGALS14,43,SSD,96.98,190,Unknown,LECA,128
ENSG00000006695,COX10,796,SSD,60.22,1740,Recessive,Opisthokonta,129
ENSG00000006704,GTF2IRD1,413,SSD,47.51,800,Unknown,Bilateria,130
ENSG00000006712,PAF1,796,Singleton,35.5,1482,Unknown,Singleton,0
ENSG00000006715,VPS41,796,Singleton,18.46,1068,Unknown,Singleton,0
ENSG00000006740,ARHGAP44,615,Ohnolog,41.01,746,Unknown,Bilateria,131
ENSG00000006744,ELAC2,796,SSD,61.4,1908,Recessive,LECA,132
ENSG00000006747,SCIN,435,Ohnolog,52.69,1004,Unknown,LECA,133
ENSG00000006756,ARSD,105,SSD,92.29,656,Unknown,Bilateria,134
ENSG00000006757,PNPLA4,796,SSD,81.78,596,Unknown,Bilateria,135
ENSG00000006788,MYH13,105,Ohnolog,59.55,2088,Unknown,LECA,136
ENSG00000006831,ADIPOR2,615,Ohnolog,24.16,876,Unknown,LECA,137
ENSG00000006837,CDKL3,435,SSD,41.83,446,Unknown,LECA,138
ENSG00000007001,UPP2,351,Ohnolog,57.05,1034,Unknown,Bilateria,139
ENSG00000007038,PRSS21,615,SSD,98.89,1042,Unknown,LECA,59
ENSG00000007047,MARK4,105,Ohnolog,44.48,776,Unknown,LECA,141
ENSG00000007062,PROM1,105,Ohnolog,42.13,2458,Both,Chordata,142
ENSG00000007080,CCDC124,796,Singleton,65.63,942,None,Singleton,0
ENSG00000007129,CEACAM21,15,SSD,98.64,442,Unknown,Vertebrata,143
ENSG00000007168,PAFAH1B1,796,SSD,2.21,2652,Dominant,LECA,144
ENSG00000007171,NOS2,435,Ohnolog,17.69,3180,Unknown,LECA,145
ENSG00000007174,DNAH9,796,SSD,39.51,1778,Recessive,LECA,146
ENSG00000007202,KIAA0100,796,Singleton,14.31,470,None,Singleton,0
ENSG00000007216,SLC13A2,435,Ohnolog,68.62,1050,Unknown,Bilateria,147
ENSG00000007237,AC005747,615,SSD,NA,3518,Unknown,LECA,148
ENSG00000007255,TRAPPC6A,796,Ohnolog,69.04,654,Unknown,Gnathostomata,149
ENSG00000007264,MATK,435,SSD,73.33,2700,Unknown,LECA,5
ENSG00000007306,CEACAM7,29,SSD,97.58,520,None,Vertebrata,143
ENSG00000007312,CD79B,435,SSD,80.59,1556,Recessive,Euteleostomi,152
ENSG00000007314,SCN4A,615,Ohnolog,27.91,1482,Both,LECA,111
ENSG00000007341,ST7L,796,Ohnolog,11.49,384,Unknown,Gnathostomata,54
ENSG00000007350,TKTL1,105,Ohnolog,73.34,1790,Unknown,LECA,155
ENSG00000007372,PAX6,615,SSD,0.78,4028,Dominant,LECA,52
ENSG00000007376,RPUSD1,615,SSD,79.68,1032,None,LECA,157
ENSG00000007384,RHBDF1,615,Ohnolog,52.34,1108,Unknown,Opisthokonta,158
ENSG00000007392,LUC7L,796,SSD,39.38,1354,Unknown,LECA,159
ENSG00000007402,CACNA2D2,158,Ohnolog,17.37,980,Unknown,Bilateria,160
ENSG00000007516,BAIAP3,105,Ohnolog,71.97,680,Unknown,LECA,161
ENSG00000007520,TSR3,796,Singleton,79.48,568,Unknown,Singleton,0
ENSG00000007541,PIGQ,615,Singleton,65.33,800,Unknown,Singleton,0
ENSG00000007545,CRAMP1,615,SSD,NA,304,None,Amniota,162
ENSG00000007866,TEAD3,796,Ohnolog,31.71,1234,Unknown,Chordata,163
ENSG00000007908,SELE,311,SSD,53.89,2580,Unknown,LECA,6
ENSG00000007923,DNAJC11,796,SSD,33.21,1202,Unknown,LECA,165
ENSG00000007933,FMO3,351,SSD,71.11,1060,Recessive,Bilateria,166
ENSG00000007944,MYLIP,435,SSD,34.07,1224,Unknown,LECA,167
ENSG00000007952,NOX1,311,Ohnolog,34.43,1520,Unknown,LECA,168
ENSG00000007968,E2F2,435,Ohnolog,50.25,2254,Unknown,LECA,169
ENSG00000008018,PSMB1,796,SSD,33.38,3460,Unknown,LECA,170
ENSG00000008056,SYN1,435,Ohnolog,9.89,3428,Both,Bilateria,171
ENSG00000008083,JARID2,615,SSD,12.14,4446,Unknown,LECA,172
ENSG00000008086,CDKL5,413,SSD,13.18,1248,Dominant,LECA,138
ENSG00000008118,CAMK1G,435,Ohnolog,41.24,2826,Unknown,LECA,43
ENSG00000008128,CDK11A,796,SSD,71.07,1272,Unknown,LECA,138
ENSG00000008130,NADK,435,Singleton,69.48,1564,Unknown,Singleton,0
ENSG00000008196,TFAP2B,796,Ohnolog,2.98,1138,Dominant,Vertebrata,176
ENSG00000008197,TFAP2D,796,Ohnolog,7.15,386,Unknown,Vertebrata,176
ENSG00000008226,DLEC1,435,SSD,81.3,534,Unknown,LECA,178
ENSG00000008256,CYTH3,615,Ohnolog,50.21,1154,Unknown,LECA,179
ENSG00000008277,ADAM22,158,SSD,15.06,1294,Recessive,Bilateria,180
ENSG00000008282,SYPL1,615,Ohnolog,68.81,516,Unknown,Vertebrata,181
ENSG00000008283,CYB561,796,Ohnolog,66.85,470,Recessive,LECA,182
ENSG00000008294,SPAG9,796,SSD,16.54,1310,Unknown,LECA,183
ENSG00000008300,CELSR3,435,Ohnolog,42.41,1444,Unknown,LECA,184
ENSG00000008311,AASS,796,Singleton,45.6,1168,Recessive,Singleton,0
ENSG00000008323,PLEKHG6,158,Ohnolog,73.65,768,Unknown,LECA,185
ENSG00000008324,SS18L2,435,Ohnolog,21.89,546,Unknown,LECA,186
ENSG00000008382,MPND,435,Ohnolog,70.27,1734,None,LECA,187
ENSG00000008394,MGST1,615,SSD,64.45,1070,Unknown,Chordata,188
ENSG00000008405,CRY1,615,Ohnolog,7.03,1918,Dominant,Opisthokonta,189
ENSG00000008438,PGLYRP1,615,SSD,88.69,970,Unknown,Bilateria,190
ENSG00000008441,NFIX,796,Ohnolog,1.34,776,Dominant,Vertebrata,191
ENSG00000008513,ST3GAL1,615,Ohnolog,61.67,832,None,Chordata,192
ENSG00000008516,MMP25,615,Ohnolog,73.48,1122,Unknown,LECA,193
ENSG00000008517,IL32,9,Singleton,99.95,688,Unknown,Singleton,0
ENSG00000008710,PKD1,435,SSD,28.17,1160,Dominant,LECA,194
ENSG00000008735,MAPK8IP2,435,Ohnolog,60.2,1862,Unknown,Bilateria,195
ENSG00000008838,MED24,796,Singleton,23.04,892,Unknown,Singleton,0
ENSG00000008853,RHOBTB2,615,Ohnolog,30.57,3566,Dominant,LECA,196
ENSG00000008869,HEATR5B,796,Ohnolog,35.45,596,None,Vertebrata,197
ENSG00000008952,SEC62,796,Singleton,12.97,1298,Unknown,Singleton,0
ENSG00000008988,RPS20,796,Singleton,29.1,3412,Unknown,Singleton,0
ENSG00000009307,CSDE1,615,Singleton,7.61,1152,Unknown,Singleton,0
ENSG00000009335,UBE3C,796,SSD,59.16,2140,Unknown,LECA,20
ENSG00000009413,REV3L,105,Ohnolog,0.03,2146,Unknown,Opisthokonta,199
ENSG00000009694,TENM1,435,SSD,1.32,1220,Unknown,LECA,200
ENSG00000009709,PAX7,615,Ohnolog,11.21,2400,Unknown,LECA,52
ENSG00000009724,MASP2,615,Ohnolog,72.87,754,Recessive,LECA,202
ENSG00000009765,IYD,435,Singleton,67.58,1446,Recessive,Singleton,0
ENSG00000009780,FAM76A,311,Ohnolog,20.45,384,None,Bilateria,203
ENSG00000009790,TRAF3IP3,435,Ohnolog,55.7,998,Unknown,LECA,204
ENSG00000009830,POMT2,796,SSD,44.09,896,Recessive,LECA,205
ENSG00000009844,VTA1,796,Singleton,24.05,1206,Unknown,Singleton,0
ENSG00000009950,MLXIPL,615,Ohnolog,36.45,1316,Unknown,Bilateria,206
ENSG00000009954,BAZ1B,351,SSD,23.74,2986,Unknown,LECA,207
ENSG00000010017,RANBP9,615,Ohnolog,15.22,964,Unknown,LECA,208
ENSG00000010030,ETV7,615,Ohnolog,80.35,516,Unknown,Bilateria,117
ENSG00000010072,SPRTN,796,Singleton,73.6,1008,Recessive,Singleton,0
ENSG00000010165,EEF1AKNMT,796,SSD,NA,550,Both,LECA,210
ENSG00000010219,DYRK4,796,SSD,57.07,1518,Unknown,LECA,211
ENSG00000010244,ZNF207,796,Singleton,7.62,1322,Unknown,Singleton,0
ENSG00000010256,UQCRC1,435,Ohnolog,35.57,2346,Unknown,LECA,212
ENSG00000010270,STARD3NL,435,Ohnolog,23.49,246,Unknown,LECA,213
ENSG00000010278,CD9,615,Ohnolog,23.69,1994,Unknown,Bilateria,1
ENSG00000010282,HHATL,615,Ohnolog,49.27,1902,Unknown,Bilateria,215
ENSG00000010292,NCAPD2,796,SSD,35.32,1810,Recessive,LECA,216
ENSG00000010295,IFFO1,435,SSD,50.74,222,Unknown,Gnathostomata,217
ENSG00000010310,GIPR,158,Ohnolog,40.88,968,None,LECA,57
ENSG00000010318,PHF7,176,SSD,43.66,3044,None,LECA,219
ENSG00000010319,SEMA3G,615,SSD,68.59,910,None,LECA,11
ENSG00000010322,NISCH,435,SSD,43.38,1228,Unknown,Bilateria,221
ENSG00000010327,STAB1,105,SSD,62.04,1394,None,LECA,222
ENSG00000010361,FUZ,311,Singleton,60.48,610,Dominant,Singleton,0
ENSG00000010379,SLC6A13,158,Ohnolog,22.87,1274,Unknown,Bilateria,223
ENSG00000010404,IDS,796,SSD,14.02,602,Recessive,Bilateria,134
ENSG00000010438,PRSS3,73,Ohnolog,81.43,1232,Unknown,LECA,225
ENSG00000010539,ZNF200,158,SSD,53.67,416,Unknown,LECA,226
ENSG00000010610,CD4,105,Singleton,2.81,3274,Unknown,Singleton,0
ENSG00000010626,LRRC23,615,SSD,58.71,1196,None,LECA,227
ENSG00000010671,BTK,615,Ohnolog,4.3,4168,Recessive,LECA,5
ENSG00000010704,HFE,158,SSD,74.41,3798,None,Gnathostomata,229
ENSG00000010803,SCMH1,615,Ohnolog,17.87,872,Unknown,Bilateria,230
ENSG00000010810,FYN,615,Ohnolog,0.92,4760,Unknown,LECA,5
ENSG00000010818,HIVEP2,615,Ohnolog,13.96,1056,Dominant,LECA,232
ENSG00000010932,FMO1,311,SSD,60.49,736,Unknown,Bilateria,166
ENSG00000011007,ELOA,615,SSD,NA,972,Unknown,Eutheria,234
ENSG00000011009,LYPLA2,435,Ohnolog,30.28,1154,Unknown,Opisthokonta,235
ENSG00000011021,CLCN6,435,SSD,33.73,788,Unknown,LECA,236
ENSG00000011028,AC080038,615,Ohnolog,NA,844,Unknown,Vertebrata,237
ENSG00000011052,NME1-NME2,105,SSD,NA,2728,None,LECA,238
ENSG00000011083,SLC6A7,435,SSD,2.35,2506,Unknown,Bilateria,223
ENSG00000011105,TSPAN9,435,Ohnolog,30.9,824,Unknown,Bilateria,1
ENSG00000011114,BTBD7,796,Singleton,29.68,472,Unknown,Singleton,0
ENSG00000011132,AC005954,435,Ohnolog,NA,638,Unknown,LECA,241
ENSG00000011143,MKS1,615,SSD,34.89,714,Recessive,LECA,242
ENSG00000011198,ABHD5,796,SSD,36.17,1144,Recessive,LECA,243
ENSG00000011201,ANOS1,105,Singleton,60.51,796,Recessive,Singleton,0
ENSG00000011243,AKAP8L,413,SSD,44.33,440,Unknown,Gnathostomata,244
ENSG00000011258,MBTD1,615,SSD,5.67,808,None,Bilateria,230
ENSG00000011260,UTP18,435,Singleton,28.21,2166,Unknown,Singleton,0
ENSG00000011275,RNF216,105,SSD,36.49,698,Recessive,Bilateria,246
ENSG00000011295,TTC19,615,Singleton,51.14,1418,Recessive,Singleton,0
ENSG00000011304,PTBP1,796,Ohnolog,31.13,3140,Unknown,LECA,247
ENSG00000011332,DPF1,615,Ohnolog,56.28,600,Unknown,LECA,248
ENSG00000011347,SYT7,796,SSD,29.84,1498,Unknown,LECA,249
ENSG00000011376,LARS2,796,SSD,52.81,0,Recessive,LECA,250
ENSG00000011405,PIK3C2A,615,Ohnolog,6.4,4116,Recessive,LECA,251
ENSG00000011422,PLAUR,96,SSD,70.48,2070,Unknown,Amniota,252
ENSG00000011426,ANLN,615,SSD,39.04,1868,Dominant,Bilateria,253
ENSG00000011451,WIZ,435,SSD,46.57,920,None,LECA,254
ENSG00000011454,RABGAP1,615,Ohnolog,13.04,1384,Unknown,LECA,255
ENSG00000011465,DCN,615,SSD,2.89,2646,Dominant,LECA,256
ENSG00000011478,QPCTL,796,Ohnolog,60.01,568,None,LECA,257
ENSG00000011485,PPP5C,796,SSD,36.6,4300,Unknown,LECA,258
ENSG00000011523,CEP68,311,SSD,83.58,224,Unknown,LECA,259
ENSG00000011566,MAP4K3,796,Ohnolog,13.46,958,Unknown,LECA,104
ENSG00000011590,ZBTB32,105,SSD,41.44,836,Unknown,LECA,261
ENSG00000011600,TYROBP,158,Singleton,59.61,2110,Recessive,Singleton,0
ENSG00000011638,TMEM159,435,Singleton,69.29,86,Unknown,Singleton,0
ENSG00000011677,GABRA3,435,Ohnolog,28.22,1338,Unknown,Bilateria,262
ENSG00000012048,BRCA1,311,Singleton,1.2,5648,Both,Singleton,0
ENSG00000012061,ERCC1,796,Singleton,39.74,1772,Recessive,Singleton,0
ENSG00000012124,CD22,311,SSD,95.85,1788,Unknown,Gnathostomata,263
ENSG00000012171,SEMA3B,615,SSD,NA,1112,Unknown,LECA,11
ENSG00000012174,MBTPS2,796,Singleton,17.54,1540,Recessive,Singleton,0
ENSG00000012211,PRICKLE3,796,Ohnolog,68.68,1200,Unknown,LECA,265
ENSG00000012223,LTF,615,Ohnolog,82.21,1394,Unknown,Bilateria,266
ENSG00000012232,EXTL3,796,SSD,7.06,600,Recessive,LECA,267
ENSG00000012504,NR1H4,615,Ohnolog,11.88,2168,Recessive,Bilateria,268
ENSG00000012660,ELOVL5,615,SSD,33.49,1448,Dominant,LECA,269
ENSG00000012779,ALOX5,311,Ohnolog,28.83,1906,Dominant,LECA,270
ENSG00000012817,KDM5D,96,SSD,89.81,0,Unknown,LECA,172
ENSG00000012822,CALCOCO1,435,Ohnolog,30.99,458,None,LECA,272
ENSG00000012963,UBR7,796,SSD,22.55,582,Unknown,Eutheria,273
ENSG00000012983,MAP4K5,435,Ohnolog,21.54,650,Unknown,LECA,104
ENSG00000013016,EHD3,615,SSD,32.13,1278,Unknown,LECA,275
ENSG00000013275,PSMC4,796,SSD,19.28,3036,Unknown,LECA,276
ENSG00000013288,MAN2B2,351,SSD,83.66,614,None,LECA,277
ENSG00000013293,SLC7A14,796,SSD,25.72,1362,Recessive,Opisthokonta,34
ENSG00000013297,CLDN11,435,SSD,8.67,1066,Unknown,Chordata,279
ENSG00000013306,SLC25A39,351,Ohnolog,58.15,540,Unknown,LECA,53
ENSG00000013364,MVP,615,Singleton,33.29,846,Unknown,Singleton,0
ENSG00000013374,NUB1,796,Singleton,55.36,790,Unknown,Singleton,0
ENSG00000013375,PGM3,796,SSD,45.16,1888,Recessive,Opisthokonta,281
ENSG00000013392,RWDD2A,796,SSD,60.5,502,None,Gnathostomata,282
ENSG00000013441,CLK1,435,SSD,21.3,1630,Unknown,LECA,211
ENSG00000013503,POLR3B,796,SSD,10.15,3490,Recessive,LECA,284
ENSG00000013523,ANGEL1,615,Ohnolog,32.41,602,None,LECA,285
ENSG00000013561,RNF14,796,SSD,13.99,1366,Unknown,LECA,13
ENSG00000013563,DNASE1L1,435,SSD,79.28,630,Unknown,Vertebrata,287
ENSG00000013573,DDX11,796,SSD,79.21,1756,Recessive,LECA,288
ENSG00000013583,HEBP1,435,SSD,60.04,766,Unknown,Chordata,289
ENSG00000013588,GPRC5A,615,SSD,78.24,766,Unknown,Vertebrata,290
ENSG00000013619,MAMLD1,435,Singleton,71.77,628,Recessive,Singleton,0
ENSG00000013725,CD6,311,SSD,83.59,1030,Unknown,LECA,291
ENSG00000013810,TACC3,351,Ohnolog,92.5,1546,Unknown,Vertebrata,292
